route,gewicht,ldm,dinas_erloese,dlv_soll,delta,delta_pct,vermuteter_grund
IE-LAO,4258.0000,9.6000,3071.9200,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-LAO,5289.0000,9.6000,3027.9600,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-LAO,3221.0000,2.8000,1350.9300,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-LAO,7815.0000,5.6000,2115.4100,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,4079.0000,6.0000,2315.2000,,,,kein DLV-Match (PLZ-Format inkompatibel)
DE-74673,1672.0000,4.7000,1892.8100,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,6133.0000,9.6000,3102.8300,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,7094.0000,8.4000,2861.1600,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-LAO,3221.0000,2.8000,1343.3800,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,6134.0000,7.2000,2619.6100,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-LAO,1031.0000,3.6000,1575.5500,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,7492.0000,9.6000,3120.2600,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-LAO,1055.0000,4.0000,1685.9600,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,7207.0000,9.2000,3039.2300,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,6816.0000,8.8000,2958.2900,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-LAO,4282.0000,8.8000,2870.1100,,,,kein DLV-Match (PLZ-Format inkompatibel)
PT-2615,2224.0000,8.0000,1792.2500,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,247.0000,0.8000,436.9500,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-LAO,5070.0000,8.8000,2870.1100,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,168.0000,0.4000,223.3200,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-LAO,2116.0000,3.6000,1584.3400,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,8000.0000,8.4000,2893.3500,,,,kein DLV-Match (PLZ-Format inkompatibel)
SK-905 01,2963.0000,9.2000,900.0000,870.5435,-29.4565,-3.2729,Calculator-Prüfung (Dinas > DLV)
