route,plz_dinas,plz_dlv_mapped,gewicht,ldm,dinas_erloese,dlv_soll,delta,delta_pct,vermuteter_grund
IE-LAO,LAO,R32,4258.0000,9.6000,3071.9200,2843.9141,-228.0059,-7.4223,Diesel vermutet
IE-LAO,LAO,R32,5289.0000,9.6000,3027.9600,2843.9141,-184.0459,-6.0782,Diesel vermutet
IE-LAO,LAO,R32,3221.0000,2.8000,1350.9300,1271.6041,-79.3259,-5.8719,Diesel vermutet
IE-LAO,LAO,R32,7815.0000,5.6000,2115.4100,2000.1082,-115.3018,-5.4506,Diesel vermutet
IE-GAL,GAL,H91,4079.0000,6.0000,2315.2000,2178.4088,-136.7912,-5.9084,Diesel vermutet
DE-74673,74673,74673,1672.0000,4.7000,1892.8100,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,GAL,H91,6133.0000,9.6000,3102.8300,2951.7141,-151.1159,-4.8703,Diesel vermutet
IE-GAL,GAL,H91,7094.0000,8.4000,2861.1600,2721.7124,-139.4476,-4.8738,Diesel vermutet
IE-LAO,LAO,R32,3221.0000,2.8000,1343.3800,1271.6041,-71.7759,-5.3429,Diesel vermutet
IE-GAL,GAL,H91,6134.0000,7.2000,2619.6100,2491.8106,-127.7994,-4.8786,Diesel vermutet
IE-LAO,LAO,R32,1031.0000,3.6000,1575.5500,1482.4053,-93.1447,-5.9119,Diesel vermutet
IE-GAL,GAL,H91,7492.0000,9.6000,3120.2600,2951.7141,-168.5459,-5.4017,Diesel vermutet
IE-LAO,LAO,R32,1055.0000,4.0000,1685.9600,1586.0059,-99.9541,-5.9286,Diesel vermutet
IE-GAL,GAL,H91,7207.0000,9.2000,3039.2300,2875.0135,-164.2165,-5.4032,Diesel vermutet
IE-GAL,GAL,H91,6816.0000,8.8000,2958.2900,2798.4129,-159.8771,-5.4044,Diesel vermutet
IE-LAO,LAO,R32,4282.0000,8.8000,2870.1100,2696.2129,-173.8971,-6.0589,Diesel vermutet
PT-2615,2615,2615,2224.0000,8.0000,1792.2500,,,,kein DLV-Match (PLZ-Format inkompatibel)
IE-GAL,GAL,H91,247.0000,0.8000,436.9500,413.2012,-23.7488,-5.4351,Diesel vermutet
IE-LAO,LAO,R32,5070.0000,8.8000,2870.1100,2696.2129,-173.8971,-6.0589,Diesel vermutet
IE-GAL,GAL,H91,168.0000,0.4000,223.3200,210.0006,-13.3194,-5.9643,Diesel vermutet
IE-LAO,LAO,R32,2116.0000,3.6000,1584.3400,1482.4053,-101.9347,-6.4339,Diesel vermutet
IE-GAL,GAL,H91,8000.0000,8.4000,2893.3500,2721.7124,-171.6376,-5.9321,Diesel vermutet
SK-905 01,905 01,905 01,2963.0000,9.2000,900.0000,870.5435,-29.4565,-3.2729,kein DLV-Match (County ambiguous/kein DLV-Ziel)
