route,gewicht,ldm,ax_erloese_fracht,dlv_soll,delta
0083,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,8000.0000,13.6000,3325.0000,3325.0000,0.0000
2525,4138.0000,13.2000,2750.0000,,
0083,7500.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,6813.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,7000.0000,8.8000,2756.6000,2798.4129,-41.8129
2804,7424.0000,13.2000,2250.0000,,
2804,9967.0000,12.0000,2250.0000,,
2804,1434.0000,1.2000,320.0000,,
0083,4000.0000,6.0000,2149.9000,2178.4088,-28.5088
5513,248.0000,0.4000,125.0000,,
3151,2605.0000,3.6000,850.0000,850.0000,0.0000
0083,6000.0000,10.4000,2942.3000,2991.7153,-49.4153
0083,9000.0000,13.6000,3495.0000,3439.6200,55.3800
5513,34.0000,0.4000,79.0000,,
2321,661.0000,2.0000,545.0000,550.5529,-5.5529
2321,137.0000,0.4000,174.0000,175.1106,-1.1106
2525,3894.0000,13.2000,2475.0000,,
3151,2062.0000,2.4000,660.0000,660.0000,0.0000
0083,5000.0000,9.2000,2831.3000,2875.0135,-43.7135
7300,30.0000,0.9000,216.0000,,
0083,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,7000.0000,13.6000,3375.0000,3375.0000,0.0000
2321,813.0000,2.8000,493.0000,500.7741,-7.7741
0083,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,3000.0000,4.0000,1567.0000,1586.0059,-19.0059
0582,8650.0000,13.6000,920.0000,1015.4300,-95.4300
0083,6825.0000,13.6000,3325.0000,3325.0000,0.0000
5513,108.0000,0.4000,79.0000,81.4768,-2.4768
7048,90.0000,0.4000,174.0000,,
0083,6827.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,7491.0000,13.6000,920.0000,1015.4300,-95.4300
2321,4418.0000,13.6000,960.0000,1137.7600,-177.7600
4005,4633.0000,12.8000,1300.0000,1354.5788,-54.5788
0582,7902.0000,13.6000,920.0000,1015.4300,-95.4300
2321,4231.0000,13.6000,960.0000,1137.7600,-177.7600
0582,6067.0000,13.6000,920.0000,1015.4300,-95.4300
4005,4448.0000,10.4000,1175.0000,1219.3453,-44.3453
0083,2500.0000,4.0000,1567.0000,1586.0059,-19.0059
0083,6183.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,8589.0000,13.6000,920.0000,1015.4300,-95.4300
0083,6184.0000,13.6000,3325.0000,3325.0000,0.0000
0083,6184.0000,13.6000,3505.0000,3569.6200,-64.6200
4005,9097.0000,12.8000,1300.0000,1354.5788,-54.5788
0083,6183.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,7648.0000,13.6000,920.0000,1015.4300,-95.4300
5513,76.0000,0.2000,79.0000,81.4768,-2.4768
2321,592.0000,2.0000,545.0000,550.5529,-5.5529
0582,7323.0000,13.6000,920.0000,1015.4300,-95.4300
0582,6505.0000,13.6000,920.0000,1015.4300,-95.4300
2321,1804.0000,3.6000,571.0000,580.9953,-9.9953
0083,6146.0000,13.6000,3375.0000,3439.6200,-64.6200
3151,210.0000,0.6000,260.0000,260.0000,0.0000
0083,6183.0000,13.6000,3505.0000,3569.6200,-64.6200
0083,6147.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,6182.0000,13.6000,3375.0000,3375.0000,0.0000
3151,766.0000,1.6000,460.0000,460.0000,0.0000
0083,6148.0000,13.6000,3325.0000,3325.0000,0.0000
0582,5379.0000,13.6000,920.0000,1015.4300,-95.4300
2321,188.0000,0.4000,174.0000,175.1106,-1.1106
0582,6804.0000,13.6000,920.0000,1015.4300,-95.4300
5513,301.0000,1.6000,165.0000,174.9071,-9.9071
2321,659.0000,2.0000,545.0000,550.5529,-5.5529
2321,4299.0000,13.6000,960.0000,1137.7600,-177.7600
0582,7931.0000,13.6000,920.0000,1015.4300,-95.4300
5513,5782.0000,10.8000,620.0000,686.8726,-66.8726
0083,6149.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,6000.0000,9.6000,2906.1000,2951.7141,-45.6141
3151,390.0000,0.8000,260.0000,260.0000,0.0000
0083,6148.0000,13.6000,3375.0000,3439.6200,-64.6200
7048,130.0000,1.0000,166.8000,,
0582,7878.0000,13.6000,920.0000,1015.4300,-95.4300
0582,8896.0000,13.6000,920.0000,1015.4300,-95.4300
0582,7659.0000,13.6000,920.0000,1015.4300,-95.4300
1069,4941.0000,13.6000,1413.0000,1470.9900,-57.9900
0083,8221.0000,10.8000,3130.3000,3181.6159,-51.3159
0083,6184.0000,13.6000,3325.0000,3325.0000,0.0000
0083,2117.0000,2.4000,1175.3000,1186.7035,-11.4035
3151,223.0000,0.4000,150.0000,150.0000,0.0000
0083,6183.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,6187.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,4391.0000,13.6000,960.0000,1137.7600,-177.7600
2321,4369.0000,13.6000,960.0000,1137.7600,-177.7600
5513,155.0000,0.4000,79.0000,81.4768,-2.4768
0582,5617.0000,13.6000,920.0000,1015.4300,-95.4300
0582,6907.0000,13.6000,920.0000,1015.4300,-95.4300
0582,8000.0000,13.6000,920.0000,1015.4300,-95.4300
5513,1854.0000,0.0000,475.0000,,
2321,4280.0000,13.6000,960.0000,1137.7600,-177.7600
0582,7599.0000,13.6000,920.0000,1015.4300,-95.4300
7048,45.0000,0.4000,94.8000,,
4005,4632.0000,10.4000,1175.0000,1219.3453,-44.3453
4005,9090.0000,13.6000,1300.0000,1357.9900,-57.9900
4005,4447.0000,10.4000,1175.0000,1219.3453,-44.3453
3151,1500.0000,4.0000,926.0000,926.0000,0.0000
0083,6146.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,6146.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,6146.0000,13.6000,3375.0000,3439.6200,-64.6200
5513,510.0000,0.8000,162.0000,,
0083,6184.0000,13.6000,3505.0000,3569.6200,-64.6200
5513,225.7400,1.4000,165.0000,174.9071,-9.9071
2520,140.8000,1.1000,437.0000,440.3318,-3.3318
0083,6146.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,8000.0000,13.6000,920.0000,1015.4300,-95.4300
0582,6836.0000,13.6000,920.0000,1015.4300,-95.4300
0083,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,7000.0000,13.6000,3505.0000,3569.6200,-64.6200
1069,1140.6000,1.6000,374.0000,380.8224,-6.8224
CHN,520.0000,1.6000,231.1200,,
2321,4440.0000,13.6000,960.0000,1137.7600,-177.7600
2321,4419.0000,13.6000,960.0000,1137.7600,-177.7600
0582,6594.0000,13.6000,920.0000,1015.4300,-95.4300
1069,5284.0000,13.6000,1313.0000,,
0582,6960.0000,13.6000,920.0000,1015.4300,-95.4300
2321,4423.5000,13.6000,960.0000,1137.7600,-177.7600
7048,75.0000,0.2000,94.8000,,
0582,7652.3400,13.6000,920.0000,1015.4300,-95.4300
1403,6000.0000,13.6000,2600.0000,,
3151,500.0000,1.6000,460.0000,460.0000,0.0000
3151,454.3800,0.4000,150.0000,150.0000,0.0000
0083,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,10000.0000,13.6000,960.0000,1137.7600,-177.7600
0083,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0083,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,4352.5000,13.6000,960.0000,1137.7600,-177.7600
0083,7000.0000,9.6000,2906.1000,2951.7141,-45.6141
0582,6579.0000,13.6000,920.0000,1015.4300,-95.4300
