route,Empfänger PLZ,Empfänger Ort,Tonnage (eff.),Lademeter,Erloese,dinas_erloese_kg,dlv_soll,dlv_soll_kg,delta_pct,zone_matched,weight_band_matched,Ausgangsbordero,periode
CH-14,1470,,46.0000,0.0000,110.4200,240.0435,62.6900,136.2826,-43.2300,Zone 7,bis 300 kg,2025_24200397,PRE
CH-83,8304,,2.0000,0.0000,97.4900,4874.5000,51.4100,2570.5000,-47.2700,Zone 1,bis 300 kg,2025_24200408,PRE
CH-62,6260,,65.0000,0.0000,102.4700,157.6462,55.7600,85.7846,-45.5800,Zone 3,bis 300 kg,2025_24200408,PRE
CH-94,9445,,14.0000,0.0000,104.3700,745.5000,57.4100,410.0714,-44.9900,Zone 4,bis 300 kg,2025_24200408,PRE
CH-83,8302,,30.0000,0.0000,97.4900,324.9667,51.4100,171.3667,-47.2700,Zone 1,bis 300 kg,2025_24200464,PRE
CH-57,5737,,167.0000,0.0000,128.1700,76.7485,78.1800,46.8144,-39.0000,Zone 2,bis 300 kg,2025_24200464,PRE
CH-94,9445,,100.0000,0.0000,104.3700,104.3700,57.4100,57.4100,-44.9900,Zone 4,bis 300 kg,2025_24200464,PRE
CH-89,8902,,8.0000,0.0000,100.7400,1259.2500,54.2500,678.1250,-46.1500,Zone 2,bis 300 kg,2025_24200464,PRE
CH-94,9463,,23.0000,0.0000,104.3700,453.7826,57.4100,249.6087,-44.9900,Zone 4,bis 300 kg,2025_24200752,PRE
CH-62,6260,,242.0000,0.0000,180.6400,74.6446,123.9600,51.2231,-31.3800,Zone 3,bis 300 kg,2025_24200752,PRE
CH-49,4900,,24.0000,0.0000,100.7400,419.7500,54.2500,226.0417,-46.1500,Zone 2,bis 300 kg,2025_24200806,PRE
CH-19,1950,,3.0000,0.0000,150.9900,5033.0000,98.0900,3269.6667,-35.0400,Zone 9,bis 300 kg,2025_24200806,PRE
CH-84,8400,,1.0000,0.0000,97.4900,9749.0000,51.4100,5141.0000,-47.2700,Zone 1,bis 300 kg,2025_24200806,PRE
CH-49,4900,,60.0000,0.0000,100.7400,167.9000,54.2500,90.4167,-46.1500,Zone 2,bis 300 kg,2025_24201044,PRE
CH-83,8302,,2392.0000,0.0000,568.6100,23.7713,462.4800,19.3344,-18.6600,Zone 1,bis. 2.500 kg,2025_24201044,PRE
CH-62,6260,,166.0000,0.0000,133.2900,80.2952,82.6400,49.7831,-38.0000,Zone 3,bis 300 kg,2025_24201044,PRE
CH-90,9015,,42.0000,0.0000,102.4700,243.9762,55.7600,132.7619,-45.5800,Zone 3,bis 300 kg,2025_24201198,PRE
CH-49,4900,,5.0000,0.0000,110.0600,2201.2000,54.2500,1085.0000,-50.7100,Zone 2,bis 300 kg,2025_24201198,PRE
CH-83,8302,,236.0000,0.0000,161.7600,68.5424,107.4900,45.5466,-33.5500,Zone 1,bis 300 kg,2025_24201198,PRE
CH-83,8302,,21.0000,0.0000,106.5100,507.1905,51.4100,244.8095,-51.7300,Zone 1,bis 300 kg,2025_24201198,PRE
CH-90,9015,,12.0000,0.0000,111.9500,932.9167,55.7600,464.6667,-50.1900,Zone 3,bis 300 kg,2025_24201198,PRE
CH-49,4900,,15.0000,0.0000,100.7400,671.6000,54.2500,361.6667,-46.1500,Zone 2,bis 300 kg,2025_24201198,PRE
CH-83,8304,,400.0000,0.0000,178.1600,44.5400,121.8000,30.4500,-31.6300,Zone 1,bis 500 kg,2025_24201198,PRE
CH-12,1219,,23.0000,0.0000,121.5700,528.5652,72.4200,314.8696,-40.4300,Zone 8,bis 300 kg,2025_24201256,PRE
CH-49,4900,,64.0000,0.0000,100.7400,157.4062,54.2500,84.7656,-46.1500,Zone 2,bis 300 kg,2025_24201256,PRE
CH-94,9445,,75.0000,0.0000,104.3700,139.1600,57.4100,76.5467,-44.9900,Zone 4,bis 300 kg,2025_24201256,PRE
CH-36,3661,,21.0000,0.0000,107.6300,512.5238,60.2600,286.9524,-44.0100,Zone 5,bis 300 kg,2025_24201256,PRE
CH-83,8304,,77.0000,0.0000,97.4900,126.6104,51.4100,66.7662,-47.2700,Zone 1,bis 300 kg,2025_24201376,PRE
CH-12,1233,,10.0000,0.0000,121.5700,1215.7000,72.4200,724.2000,-40.4300,Zone 8,bis 300 kg,2025_24201376,PRE
CH-83,8302,,1514.0000,0.0000,429.8900,28.3943,341.4400,22.5522,-20.5800,Zone 1,bis 1.800 kg,2025_24201376,PRE
CH-94,9445,,136.0000,0.0000,140.7600,103.5000,89.1600,65.5588,-36.6600,Zone 4,bis 300 kg,2025_24201376,PRE
CH-80,8005,,5.0000,0.0000,97.4900,1949.8000,51.4100,1028.2000,-47.2700,Zone 1,bis 300 kg,2025_24201376,PRE
CH-62,6260,,131.0000,0.0000,133.2900,101.7481,82.6400,63.0840,-38.0000,Zone 3,bis 300 kg,2025_24201376,PRE
CH-89,8902,,58.0000,0.0000,100.7400,173.6897,54.2500,93.5345,-46.1500,Zone 2,bis 300 kg,2025_24201376,PRE
CH-57,5737,,165.0000,0.0000,128.1700,77.6788,78.1800,47.3818,-39.0000,Zone 2,bis 300 kg,2025_24201457,PRE
CH-62,6260,,306.0000,0.0000,204.7500,66.9118,145.0000,47.3856,-29.1800,Zone 3,bis 500 kg,2025_24201457,PRE
CH-90,9015,,106.0000,0.0000,133.2900,125.7453,82.6400,77.9623,-38.0000,Zone 3,bis 300 kg,2025_24201457,PRE
CH-49,4900,,22.0000,0.0000,100.7400,457.9091,54.2500,246.5909,-46.1500,Zone 2,bis 300 kg,2025_24201457,PRE
CH-83,8304,,87.0000,0.0000,97.4900,112.0575,51.4100,59.0920,-47.2700,Zone 1,bis 300 kg,2025_24201457,PRE
CH-89,8902,,220.0000,0.0000,172.9700,78.6227,117.2700,53.3045,-32.2000,Zone 2,bis 300 kg,2025_24201508,PRE
CH-94,9445,,73.0000,0.0000,104.3700,142.9726,57.4100,78.6438,-44.9900,Zone 4,bis 300 kg,2025_24201508,PRE
CH-83,8302,,28.0000,0.0000,97.4900,348.1786,51.4100,183.6071,-47.2700,Zone 1,bis 300 kg,2025_24201508,PRE
CH-54,5436,,104.0000,0.0000,128.1700,123.2404,78.1800,75.1731,-39.0000,Zone 2,bis 300 kg,2025_24201508,PRE
CH-83,8304,,321.0000,0.0000,178.1600,55.5016,121.8000,37.9439,-31.6300,Zone 1,bis 500 kg,2025_24201508,PRE
CH-94,9445,,78.0000,0.0000,104.3700,133.8077,57.4100,73.6026,-44.9900,Zone 4,bis 300 kg,2025_24201508,PRE
CH-89,8902,,42.0000,0.0000,100.7400,239.8571,54.2500,129.1667,-46.1500,Zone 2,bis 300 kg,2025_24201508,PRE
