leistungsdatum,auftragsnummer,kunde,empf_land,empf_plz,fracht,diesel,maut,transportversicherung,verzollung,lademittel,gefahrgut,gb_safety_ssd,avisgebuehr,langgutzuschlag,sonstige_nebengeb,GESAMT,sum_kategorien,identitaet_delta,identitaet_ok
2025-09-26,32958875,EBM-Papst Mulfingen GmbH & Co. KG,IE,LAO      ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3686.4300,0.0000,3686.4300,False
2025-09-26,32958874,EBM-Papst Mulfingen GmbH & Co. KG,IE,DON      ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3602.4200,0.0000,3602.4200,False
2025-09-26,32958877,EBM-Papst Mulfingen GmbH & Co. KG,IE,LAO      ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3686.4300,0.0000,3686.4300,False
2025-09-26,32957001,EBM-Papst Mulfingen GmbH & Co. KG,PL,70-895   ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,550.0000,0.0000,550.0000,False
2025-09-26,32958876,EBM-Papst Mulfingen GmbH & Co. KG,IE,LAO      ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3686.4300,0.0000,3686.4300,False
2025-09-26,32958978,EBM-Papst Mulfingen GmbH & Co. KG,IE,DON      ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3602.4200,0.0000,3602.4200,False
2025-09-26,32957222,EBM-Papst Mulfingen GmbH & Co. KG,EE,75306    ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,145.0000,0.0000,145.0000,False
2025-09-26,32958972,EBM-Papst Mulfingen GmbH & Co. KG,IE,GAL      ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3793.9400,0.0000,3793.9400,False
2025-09-26,7092010002856000,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-09-29,7092010017941005,EBM-Papst Mulfingen GmbH & Co. KG,IE,F92,3325.0000,212.8000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3602.4200,3602.4200,0.0000,True
2025-09-29,32958878,EBM-Papst Mulfingen GmbH & Co. KG,IE,DON      ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3602.4200,0.0000,3602.4200,False
2025-09-30,7092010001329000,EBM-Papst Mulfingen GmbH & Co. KG,PT,2615,2750.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2750.0000,2750.0000,0.0000,True
2025-10-03,7092010017979008,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-06,7092010018003009,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-06,7092010004762002,EBM-Papst Mulfingen GmbH & Co. KG,IE,H91,2756.6000,176.4200,41.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2974.8300,2974.8300,0.0000,True
2025-10-09,7092010005826000,EBM-Papst Mulfingen GmbH & Co. KG,ES,28830,2250.0000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2394.0000,2394.0000,0.0000,True
2025-10-09,7092010005834005,EBM-Papst Mulfingen GmbH & Co. KG,ES,28830,2250.0000,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2394.0000,2394.0000,0.0000,True
2025-10-09,7092010006428005,EBM-Papst Mulfingen GmbH & Co. KG,ES,28936,320.0000,20.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,340.4800,340.4800,0.0000,True
