rechnung_nr,sendungsnummer,abs_name,leistung_date,empf_land,empf_plz,fracht,diesel,maut,transportversicherung,verzollung,lademittel,gefahrgut,gb_safety_ssd,avisgebuehr,langgutzuschlag,sonstige_nebengeb,GESAMT,sum_kategorien,identitaet_delta,identitaet_ok,coverage_flag
1103235,32847970,SUPPLY CENTER AG,2025-02-21,IE,DUB,1599.2500,25.5900,33.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1658.4400,-1658.4400,False,gesamt_zero
1103235,32843994,SUPPLY CENTER AG,2025-02-14,IE,DUB,546.0000,8.7400,3.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,557.9400,-557.9400,False,gesamt_zero
2373665,21109633,SIKA POLYURETHANE,2024-12-16,DE,70499,1475.0000,61.9500,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1590.4500,1590.4500,0.0000,True,full
2373665,21109725,SIKA POLYURETHANE,2024-12-17,DE,70499,1475.0000,61.9500,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1590.4500,1590.4500,0.0000,True,full
2373810,21110218,SIKA S.A.U.,2024-12-19,DE,70499,2297.4000,96.4900,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2438.8900,2438.8900,0.0000,True,full
2373821,21096776,SIKA S.A.U.,2024-10-04,DE,70499,2297.4000,96.4900,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2438.8900,2438.8900,0.0000,True,full
2374275,21110372,SIKA S.A.U.,2025-01-07,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2374275,21110423,SIKA S.A.U.,2025-01-10,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2374275,21110322,SIKA S.A.U.,2025-01-02,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2374276,21110443,SIKA POLYURETHANE,2025-01-09,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2374276,21110445,SIKA POLYURETHANE,2025-01-10,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2374276,21111410,SIKA POLYURETHANE,2025-01-13,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2374276,21111843,SIKA POLYURETHANE,2025-01-15,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2375137,21111013,SIKA S.A.U.,2025-01-17,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2375137,21113017,SIKA S.A.U.,2025-01-21,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2375137,21114515,SIKA S.A.U.,2025-01-29,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2375137,21114786,SIKA S.A.U.,2025-01-31,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
