lane,auftragsnr,leistdatum,nach_ort,ausgangsrel,stpl,betrag,dlv_expected,delta,ratio,category,phase
IT-Padova,7091200010881007,2026-01-09,Padova,3721,29.3000,1063.7500,948.1250,115.6250,1.1220,muster_c_over,in_dlv
IT-Padova,7091200010835000,2026-01-05,Padova,3516,19.0000,650.8800,650.8750,0.0050,1.0000,exact_match,in_dlv
IT-Padova,7091200010840004,2026-01-07,Padova,3516,26.0000,911.1300,866.1250,45.0050,1.0520,muster_c_over,in_dlv
IT-Padova,7091200010867001,2026-01-09,Padova,3516,16.0000,558.6300,558.6250,0.0050,1.0000,exact_match,in_dlv
IT-Padova,7091200010886002,2026-01-12,Padova,3516,30.1000,973.7500,973.7500,0.0000,1.0000,exact_match,in_dlv
IT-Padova,7091200010917003,2026-01-13,Padova,3516,23.0000,843.3800,753.3750,90.0050,1.1195,muster_c_over,in_dlv
IT-Padova,7091200010927002,2026-01-14,Padova,3516,15.0000,572.8800,527.8750,45.0050,1.0853,muster_c_over,in_dlv
IT-Padova,7091200010936004,2026-01-15,Padova,3721,18.1000,740.8800,630.3750,110.5050,1.1753,muster_c_over,in_dlv
IT-Padova,7091200010942005,2026-01-16,Padova,3721,19.2500,766.5000,650.8750,115.6250,1.1776,muster_c_over,in_dlv
IT-Padova,7091200010963000,2026-01-19,Padova,3516,20.0000,766.5000,676.5000,90.0000,1.1330,muster_c_over,in_dlv
IT-Padova,7091200010977007,2026-01-20,Padova,3721,17.0000,603.6200,599.6250,3.9950,1.0067,other,in_dlv
IT-Padova,7091200010991003,2026-01-21,Padova,3516,28.0000,1007.3800,917.3750,90.0050,1.0981,muster_c_over,in_dlv
IT-Padova,7091200011016002,2026-01-23,Padova,3721,24.0000,874.1300,784.1250,90.0050,1.1148,muster_c_over,in_dlv
IT-Padova,7091200010999009,2026-01-22,Padova,3721,8.0000,322.8800,322.8750,0.0050,1.0000,exact_match,in_dlv
IT-Padova,7091200011051003,2026-01-26,Padova,3721,10.0000,410.0000,410.0000,0.0000,1.0000,exact_match,in_dlv
IT-Padova,7091200011117006,2026-02-02,Padova,3516,26.0000,911.1300,866.1250,45.0050,1.0520,muster_c_over,in_dlv
IT-Padova,7091200011139008,2026-02-04,Padova,3516,20.0000,721.5000,676.5000,45.0000,1.0665,muster_c_over,in_dlv
IT-Padova,7091200011147003,2026-02-05,Padova,3911,19.0000,695.8800,650.8750,45.0050,1.0691,muster_c_over,in_dlv
IT-Padova,7091200011178007,2026-02-06,Padova,3721,16.0000,603.6300,558.6250,45.0050,1.0806,muster_c_over,in_dlv
IT-Padova,7091200011207004,2026-02-10,Padova,3516,22.0000,757.3800,712.3750,45.0050,1.0632,muster_c_over,in_dlv
IT-Padova,7091200011235007,2026-02-13,Padova,3314,17.0000,644.6300,599.6250,45.0050,1.0751,muster_c_over,in_dlv
IT-Padova,7091200011225008,2026-02-12,Padova,3721,14.0000,557.5000,512.5000,45.0000,1.0878,muster_c_over,in_dlv
IT-Padova,7091200011137004,2026-02-03,Padova,3314,13.0000,552.3800,507.3750,45.0050,1.0887,muster_c_over,in_dlv
IT-Padova,7091200011058002,2026-01-27,Padova,3516,27.0000,941.8800,896.8750,45.0050,1.0502,muster_c_over,in_dlv
IT-Padova,7091200011083004,2026-01-28,Padova,3721,13.7000,602.5000,512.5000,90.0000,1.1756,muster_c_over,in_dlv
IT-Padova,7091200011095007,2026-01-30,Padova,3911,16.0000,603.6300,558.6250,45.0050,1.0806,muster_c_over,in_dlv
IT-Padova,7091200011090002,2026-01-29,Padova,3721,17.0000,644.6300,599.6250,45.0050,1.0751,muster_c_over,in_dlv
IT-Padova,7091200010893000,2026-01-12,Padova,3516,10.0000,410.0000,410.0000,0.0000,1.0000,exact_match,in_dlv
IT-Padova,7091200010892003,2026-01-12,Padova,3516,1.2500,82.0000,56.3750,25.6250,1.4545,muster_c_over,in_dlv
IT-Padova,7091200010827005,2026-01-05,Padova,3516,2.0000,82.0000,82.0000,0.0000,1.0000,exact_match,in_dlv
IT-Padova,7091200010825001,2026-01-05,Padova,3516,24.0000,784.1300,784.1250,0.0050,1.0000,exact_match,in_dlv
IT-Padova,7091200010863003,2026-01-08,Padova,3516,22.0000,712.3800,712.3750,0.0050,1.0000,exact_match,in_dlv
IT-Padova,7091200010862006,2026-01-08,Padova,3516,31.0000,1076.2500,1076.2500,0.0000,1.0000,exact_match,in_dlv
IT-Padova,7091200010865007,2026-01-08,Padova,3516,9.0000,384.3800,384.3750,0.0050,1.0000,exact_match,in_dlv
IT-Padova,7091200010869005,2026-01-13,Padova,3516,15.0000,527.8800,527.8750,0.0050,1.0000,exact_match,in_dlv
IT-Padova,7091200011339002,2026-02-24,Padova,3516,15.0000,572.8800,527.8750,45.0050,1.0853,muster_c_over,in_dlv
IT-Padova,7091200011323001,2026-02-27,Padova,3721,29.0000,1454.3800,948.1250,506.2550,1.5340,muster_c_over,in_dlv
IT-Padova,7091200011350007,2026-02-25,Padova,3721,18.0000,675.3800,630.3750,45.0050,1.0714,muster_c_over,in_dlv
IT-Padova,7091200011357006,2026-02-26,Padova,3721,14.0000,602.5000,512.5000,90.0000,1.1756,muster_c_over,in_dlv
IT-Padova,7091200011386006,2026-03-02,Padova,3504,24.0000,829.1300,784.1250,45.0050,1.0574,muster_c_over,in_dlv
IT-Padova,7091200011409002,2026-03-03,Padova,3504,19.5000,721.5000,676.5000,45.0000,1.0665,muster_c_over,in_dlv
IT-Padova,7091200011418004,2026-03-04,Padova,3504,18.0000,675.3800,630.3750,45.0050,1.0714,muster_c_over,in_dlv
IT-Padova,7091200011424005,2026-03-05,Padova,3721,12.0000,521.6300,476.6250,45.0050,1.0944,muster_c_over,in_dlv
IT-Padova,7091200011486003,2026-03-10,Padova,3314,17.0000,689.6300,599.6250,90.0050,1.1501,muster_c_over,in_dlv
IT-Padova,7091200011488007,2026-03-11,Padova,3504,18.0000,720.3800,630.3750,90.0050,1.1428,muster_c_over,in_dlv
