auftragsnr,nach_ort,ausgangsrel,stpl,betrag,h1_round,h2_ceil,h3_floor,h4_interp,delta_round,delta_ceil,delta_floor,delta_interp
7091200010075000,Padova,3721,0.9000,75.0000,56.3750,56.3750,56.3750,56.3750,18.6250,18.6250,18.6250,18.6250
7091200010030009,Padova,3516,9.0000,375.0000,384.3750,384.3750,384.3750,384.3750,-9.3750,-9.3750,-9.3750,-9.3750
7091200010058003,Padova,3516,8.0000,315.0000,322.8750,322.8750,322.8750,322.8750,-7.8750,-7.8750,-7.8750,-7.8750
7091200010117007,Padova,3516,12.0000,465.0000,476.6250,476.6250,476.6250,476.6250,-11.6250,-11.6250,-11.6250,-11.6250
7091200010089007,Padova,3721,1.8000,145.0000,82.0000,82.0000,56.3750,76.8750,63.0000,63.0000,88.6250,68.1250
7091200010093004,Padova,3516,15.0000,410.0000,527.8750,527.8750,527.8750,527.8750,-117.8750,-117.8750,-117.8750,-117.8750
7091200010083005,Padova,3516,17.0000,585.0000,599.6250,599.6250,599.6250,599.6250,-14.6250,-14.6250,-14.6250,-14.6250
7091200010108005,Padova,3516,33.0000,1050.0000,1076.2500,1076.2500,1076.2500,1076.2500,-26.2500,-26.2500,-26.2500,-26.2500
7091200010132000,Padova,3516,2.0000,105.0000,82.0000,82.0000,82.0000,82.0000,23.0000,23.0000,23.0000,23.0000
7091200010131003,Padova,3516,25.0000,815.0000,835.3750,835.3750,835.3750,835.3750,-20.3750,-20.3750,-20.3750,-20.3750
7091200010033000,Padova,3516,5.0000,170.0000,199.8750,199.8750,199.8750,199.8750,-29.8750,-29.8750,-29.8750,-29.8750
7091200010071002,Padova,3516,6.0000,185.0000,246.0000,246.0000,246.0000,246.0000,-61.0000,-61.0000,-61.0000,-61.0000
7091200010073006,Padova,3516,9.0000,375.0000,384.3750,384.3750,384.3750,384.3750,-9.3750,-9.3750,-9.3750,-9.3750
7091200010155009,Padova,3516,7.0000,225.0000,281.8750,281.8750,281.8750,281.8750,-56.8750,-56.8750,-56.8750,-56.8750
7091200010144003,Padova,3516,15.0000,515.0000,527.8750,527.8750,527.8750,527.8750,-12.8750,-12.8750,-12.8750,-12.8750
7091200010059000,Padova,3516,6.0000,230.0000,246.0000,246.0000,246.0000,246.0000,-16.0000,-16.0000,-16.0000,-16.0000
7091200010193001,Padova,3721,3.0000,135.0000,128.1250,128.1250,128.1250,128.1250,6.8750,6.8750,6.8750,6.8750
7091200010188007,Padova,3721,9.0000,375.0000,384.3750,384.3750,384.3750,384.3750,-9.3750,-9.3750,-9.3750,-9.3750
7091200010174000,Padova,3516,6.0000,195.0000,246.0000,246.0000,246.0000,246.0000,-51.0000,-51.0000,-51.0000,-51.0000
7091200010180001,Padova,3516,0.9000,105.0000,56.3750,56.3750,56.3750,56.3750,48.6250,48.6250,48.6250,48.6250
7091200010181008,Padova,3516,19.0000,635.0000,650.8750,650.8750,650.8750,650.8750,-15.8750,-15.8750,-15.8750,-15.8750
7091200010217004,Padova,3516,5.0000,190.0000,199.8750,199.8750,199.8750,199.8750,-9.8750,-9.8750,-9.8750,-9.8750
7091200010208002,Padova,3516,15.0000,515.0000,527.8750,527.8750,527.8750,527.8750,-12.8750,-12.8750,-12.8750,-12.8750
7091200010228000,Padova,3516,7.0000,225.0000,281.8750,281.8750,281.8750,281.8750,-56.8750,-56.8750,-56.8750,-56.8750
7091200010226006,Padova,3516,15.0000,515.0000,527.8750,527.8750,527.8750,527.8750,-12.8750,-12.8750,-12.8750,-12.8750
7091200010233004,Padova,3721,3.0000,105.0000,128.1250,128.1250,128.1250,128.1250,-23.1250,-23.1250,-23.1250,-23.1250
7091200010243003,Padova,3721,18.0000,615.0000,630.3750,630.3750,630.3750,630.3750,-15.3750,-15.3750,-15.3750,-15.3750
7091200010262004,Padova,3516,3.0000,95.0000,128.1250,128.1250,128.1250,128.1250,-33.1250,-33.1250,-33.1250,-33.1250
7091200010255006,Padova,3516,11.0000,450.0000,461.2500,461.2500,461.2500,461.2500,-11.2500,-11.2500,-11.2500,-11.2500
7091200010277008,Padova,3516,20.0000,495.0000,676.5000,676.5000,676.5000,676.5000,-181.5000,-181.5000,-181.5000,-181.5000
7091200010273000,Padova,3721,6.0000,210.0000,246.0000,246.0000,246.0000,246.0000,-36.0000,-36.0000,-36.0000,-36.0000
7091200010269003,Padova,3721,1.3000,90.0000,56.3750,82.0000,56.3750,64.0625,33.6250,8.0000,33.6250,25.9375
7091200010274007,Padova,3721,9.0000,375.0000,384.3750,384.3750,384.3750,384.3750,-9.3750,-9.3750,-9.3750,-9.3750
7091200010295002,Padova,3721,5.0000,165.0000,199.8750,199.8750,199.8750,199.8750,-34.8750,-34.8750,-34.8750,-34.8750
7091200010302007,Padova,3516,12.0000,385.0000,476.6250,476.6250,476.6250,476.6250,-91.6250,-91.6250,-91.6250,-91.6250
7091200010307002,Padova,3516,1.3000,85.0000,56.3750,82.0000,56.3750,64.0625,28.6250,3.0000,28.6250,20.9375
7091200010301000,Padova,3516,12.0000,465.0000,476.6250,476.6250,476.6250,476.6250,-11.6250,-11.6250,-11.6250,-11.6250
7091200010325006,Padova,3721,6.0000,205.0000,246.0000,246.0000,246.0000,246.0000,-41.0000,-41.0000,-41.0000,-41.0000
7091200010318008,Padova,3721,14.0000,563.7300,512.5000,512.5000,512.5000,512.5000,51.2300,51.2300,51.2300,51.2300
7091200010332004,Padova,3516,3.0000,150.0000,128.1250,128.1250,128.1250,128.1250,21.8750,21.8750,21.8750,21.8750
7091200010334008,Padova,3516,23.0000,735.0000,753.3750,753.3750,753.3750,753.3750,-18.3750,-18.3750,-18.3750,-18.3750
7091200010333001,Padova,CHI,0.9000,80.0000,56.3750,56.3750,56.3750,56.3750,23.6250,23.6250,23.6250,23.6250
7091200010351005,Padova,3516,21.0000,720.0000,691.8750,691.8750,691.8750,691.8750,28.1250,28.1250,28.1250,28.1250
7091200010384003,Padova,3516,23.0000,825.0000,753.3750,753.3750,753.3750,753.3750,71.6250,71.6250,71.6250,71.6250
7091200010416001,Padova,3516,22.0000,740.0000,712.3750,712.3750,712.3750,712.3750,27.6250,27.6250,27.6250,27.6250
7091200010398000,Padova,3516,16.0000,590.0000,558.6250,558.6250,558.6250,558.6250,31.3750,31.3750,31.3750,31.3750
7091200010381002,Padova,3516,13.0000,540.0000,507.3750,507.3750,507.3750,507.3750,32.6250,32.6250,32.6250,32.6250
7091200010422002,Padova,3516,26.0000,890.0000,866.1250,866.1250,866.1250,866.1250,23.8750,23.8750,23.8750,23.8750
7091200010437006,Padova,3516,16.0000,590.0000,558.6250,558.6250,558.6250,558.6250,31.3750,31.3750,31.3750,31.3750
7091200010447005,Padova,3516,12.0000,510.0000,476.6250,476.6250,476.6250,476.6250,33.3750,33.3750,33.3750,33.3750
7091200010467003,Padova,3721,5.0000,190.0000,199.8750,199.8750,199.8750,199.8750,-9.8750,-9.8750,-9.8750,-9.8750
7091200010462008,Padova,3721,0.8500,90.0000,56.3750,56.3750,56.3750,56.3750,33.6250,33.6250,33.6250,33.6250
7091200010456007,Padova,3721,20.0000,660.0000,676.5000,676.5000,676.5000,676.5000,-16.5000,-16.5000,-16.5000,-16.5000
7091200010485007,Padova,3721,21.0000,720.0000,691.8750,691.8750,691.8750,691.8750,28.1250,28.1250,28.1250,28.1250
7091200010506009,Padova,3516,20.0000,705.0000,676.5000,676.5000,676.5000,676.5000,28.5000,28.5000,28.5000,28.5000
7091200010489005,Padova,3721,14.0000,545.0000,512.5000,512.5000,512.5000,512.5000,32.5000,32.5000,32.5000,32.5000
7091200010510006,Padova,3516,17.0000,630.0000,599.6250,599.6250,599.6250,599.6250,30.3750,30.3750,30.3750,30.3750
7091200010514004,Padova,3516,15.3000,635.0000,527.8750,558.6250,527.8750,537.1000,107.1250,76.3750,107.1250,97.9000
7091200010551009,Padova,3516,19.0000,545.0000,650.8750,650.8750,650.8750,650.8750,-105.8750,-105.8750,-105.8750,-105.8750
7091200010553003,Padova,3516,16.0000,590.0000,558.6250,558.6250,558.6250,558.6250,31.3750,31.3750,31.3750,31.3750
7091200010563002,Padova,3721,8.0000,360.0000,322.8750,322.8750,322.8750,322.8750,37.1250,37.1250,37.1250,37.1250
7091200010581006,Padova,3516,17.8500,705.0000,630.3750,630.3750,599.6250,625.7625,74.6250,74.6250,105.3750,79.2375
7091200010577009,Padova,3721,20.0000,705.0000,676.5000,676.5000,676.5000,676.5000,28.5000,28.5000,28.5000,28.5000
7091200010598004,Padova,3516,11.0000,495.0000,461.2500,461.2500,461.2500,461.2500,33.7500,33.7500,33.7500,33.7500
7091200010620002,Padova,3516,19.0000,680.0000,650.8750,650.8750,650.8750,650.8750,29.1250,29.1250,29.1250,29.1250
7091200010632005,Padova,3516,12.0000,510.0000,476.6250,476.6250,476.6250,476.6250,33.3750,33.3750,33.3750,33.3750
7091200010652003,Padova,3721,5.0000,195.0000,199.8750,199.8750,199.8750,199.8750,-4.8750,-4.8750,-4.8750,-4.8750
7091200010662002,Padova,3721,19.7500,750.0000,676.5000,676.5000,650.8750,670.0937,73.5000,73.5000,99.1250,79.9063
7091200010666000,Padova,3721,18.0000,660.0000,630.3750,630.3750,630.3750,630.3750,29.6250,29.6250,29.6250,29.6250
7091200010688002,Padova,3721,15.0000,560.0000,527.8750,527.8750,527.8750,527.8750,32.1250,32.1250,32.1250,32.1250
7091200010702005,Padova,3516,17.0000,630.0000,599.6250,599.6250,599.6250,599.6250,30.3750,30.3750,30.3750,30.3750
