auftragsnr,stpl,betrag,h1_round,delta_round,ratio,Leistungsdatum,Ausgangsrelation,Tournummer
7091200010447005,12.0000,510.0000,476.6250,33.3750,1.0700,2025-11-05,3516,
7091200010632005,12.0000,510.0000,476.6250,33.3750,1.0700,2025-11-25,3516,
7091200010770004,12.0000,510.0000,476.6250,33.3750,1.0700,2025-12-10,3721,
7091200011623002,30.0000,1041.9100,973.7500,68.1600,1.0700,2026-03-24,3504,
7091200011642003,4.0000,191.9400,179.3750,12.5650,1.0700,2026-03-25,3504,
7091200011641006,12.0000,509.9900,476.6250,33.3650,1.0700,2026-03-25,3504,
7091200011657007,3.0000,137.1000,128.1250,8.9750,1.0700,2026-03-26,3504,
7091200011653009,8.0000,345.4800,322.8750,22.6050,1.0700,2026-03-26,3504,
7092010047622004,9.0000,411.2900,384.3750,26.9150,1.0700,2026-03-27,3504,
7091200011698000,16.0000,597.7300,558.6250,39.1050,1.0700,2026-03-30,3721,
7091200011696006,8.0000,345.4800,322.8750,22.6050,1.0700,2026-03-30,3504,
7091200011751002,14.0000,548.3800,512.5000,35.8800,1.0700,2026-04-07,3721,
7091200011763005,21.0000,740.3100,691.8750,48.4350,1.0700,2026-04-08,3721,
7091200011788008,35.0000,1151.5900,1076.2500,75.3400,1.0700,2026-04-13,3721,
7091200011838000,15.0000,564.8300,527.8750,36.9550,1.0700,2026-04-15,3721,
7091200011459007,8.0000,345.4800,322.8750,22.6050,1.0700,2026-03-09,3504,
7091200011457003,4.0000,191.9400,179.3750,12.5650,1.0700,2026-03-09,3504,
7091200011576001,3.0000,137.1000,128.1250,8.9750,1.0700,2026-03-19,3504,
7091200011570009,8.0000,345.4800,322.8750,22.6050,1.0700,2026-03-19,3504,
7091200011606005,4.0000,191.9400,179.3750,12.5650,1.0700,2026-03-20,3314,
7091200011590007,9.0000,411.2900,384.3750,26.9150,1.0700,2026-03-20,3314,
7091200011610002,7.0000,301.6100,281.8750,19.7350,1.0700,2026-03-23,3314,
7091200011613003,6.0000,263.2200,246.0000,17.2200,1.0700,2026-03-23,3314,
