auftragsnr,datum,nach_ort,route_key,no_route_match,phase_a,phase_b,ldm,stpl_abrstrecke,n_direct,n_ceil,n_round,n_floor,betrag,exp_26_direct,exp_26_ceil,exp_26_round,exp_26_floor,tariff_26_direct,toll_26_direct,exp_25_direct,exp_25_ceil,dlv_version_a,exp_phase_a,delta_a,dlv_version_b,exp_phase_b,delta_b,ratio_26_direct,muster_a,muster_b
7092010002856000,2025-09-26,Portlaoise,R32,False,pre_dlv,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,none,,,2025,3439.6200,216.0000,1.0628,False,False
7092010004762002,2025-10-06,Galway,H91,False,pre_dlv,in_dlv_2025,8.8000,22.0000,22.0000,22,22,22,2974.8300,2798.4129,2798.4129,2798.4129,2798.4129,2756.6000,41.8129,2798.4129,2798.4129,none,,,2025,2798.4129,176.4171,1.0630,False,False
7092010006676000,2025-10-10,Galway,H91,False,in_dlv_2025,in_dlv_2025,6.0000,15.0000,15.0000,15,15,15,2316.0000,2178.4088,2178.4088,2178.4088,2178.4088,2149.9000,28.5088,2178.4088,2178.4088,2025,2178.4088,137.5912,2025,2178.4088,137.5912,1.0632,False,False
7092010006765001,2025-10-10,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,10.4000,26.0000,26.0000,26,26,26,3180.0300,2991.7153,2991.7153,2991.7153,2991.7153,2942.3000,49.4153,2991.7153,2991.7153,2025,2991.7153,188.3147,2025,2991.7153,188.3147,1.0629,False,False
7092010011864003,2025-10-24,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,4.0000,10.0000,10.0000,10,10,10,1686.3000,1586.0059,1586.0059,1586.0059,1586.0059,1567.0000,19.0059,1586.0059,1586.0059,2025,1586.0059,100.2941,2025,1586.0059,100.2941,1.0632,False,False
7092010015045002,2025-10-31,Dublin,D12,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010015037007,2025-10-31,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010015041004,2025-10-31,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010015048003,2025-10-31,Galway,H91,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3793.9400,3569.6200,3569.6200,3569.6200,3569.6200,3505.0000,64.6200,3569.6200,3569.6200,2025,3569.6200,224.3200,2025,3569.6200,224.3200,1.0628,False,False
7092010015043008,2025-10-31,Rathmullan,F92,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3602.4200,3387.7194,3387.7194,3387.7194,3387.7194,3325.0000,62.7194,,,2025,,,2025,,,1.0634,False,False
