lane,phase,n_total,n_matched,n_dlv_gaps,eur_total,eur_assessed,floater_mean,floater_std,floater_min,floater_max,n_muster_a,n_muster_b,delta_sum,muster_a_flag
DE,in_dlv_2025,8,0,8,3064.2700,0.0000,,,,,0,0,,
DE,in_dlv_2026,2,0,2,1846.2300,0.0000,,,,,0,0,,
EE,in_dlv_2025,16,16,0,7496.4300,7496.4300,0.0625,0.1591,-0.3862,0.4844,3,1,606.4300,muster_a_suspected
EE,in_dlv_2026,7,7,0,3249.1100,3249.1100,0.0855,0.0072,0.0810,0.1004,0,0,259.1100,
ES,pre_dlv,3,0,3,5128.4800,0.0000,,,,,0,0,,
GB,in_dlv_2025,3,3,0,7527.3200,7527.3200,0.0542,0.0439,0.0063,0.0924,0,0,387.3200,
GB,in_dlv_2026,5,5,0,12938.9000,12938.9000,0.0873,0.0000,0.0873,0.0873,0,0,1038.9000,
HR,in_dlv_2025,20,20,0,25027.6000,25027.6000,0.0637,0.0095,0.0277,0.0700,8,0,1455.4600,muster_a_suspected
HR,in_dlv_2026,4,3,1,4336.4200,3611.4200,0.0839,0.0050,0.0810,0.0896,0,0,272.0300,
IE,in_dlv_2025,82,82,0,276453.3600,276453.3600,0.0656,0.0095,0.0164,0.0894,16,0,16781.6900,muster_a_suspected
IE,in_dlv_2026,27,27,0,94804.5100,94804.5100,0.0906,0.0031,0.0870,0.0969,0,0,7739.0300,
IE,pre_dlv,5,0,5,17544.1100,0.0000,,,,,0,0,,
PL,in_dlv_2025,87,73,14,75410.2600,66805.6300,0.0883,0.1466,0.0580,1.3038,10,0,4169.0900,muster_a_suspected
PL,in_dlv_2026,40,26,14,38017.9000,27130.6900,0.0947,0.0463,0.0810,0.3039,0,0,2162.2600,
PT,in_dlv_2025,1,0,1,2633.4000,0.0000,,,,,0,0,,
PT,pre_dlv,1,0,1,2750.0000,0.0000,,,,,0,0,,
RS,in_dlv_2025,1,0,1,407.0000,0.0000,,,,,0,0,,
SI,in_dlv_2025,11,7,4,7646.1400,4712.7100,0.0631,0.0023,0.0580,0.0640,0,0,268.3200,
SI,in_dlv_2026,4,1,3,790.7400,334.8300,0.0810,,0.0810,0.0810,0,0,24.7100,
SK,in_dlv_2025,47,46,1,38593.4500,38409.3500,0.1225,0.2497,0.0580,1.6699,13,0,3280.8800,muster_a_suspected
SK,in_dlv_2026,23,23,0,21268.4400,21268.4400,0.1442,0.0613,0.0810,0.2062,0,0,2838.2900,
