lane,nach_ort,auftragsnr,datum,phase,route_key,no_route_match,ldm,n_direct,betrag,dlv_version_used,dlv_fallback,tariff_source,dlv_tariff,dlv_toll,dlv_expected,delta_raw,ratio,floater_pct,muster_a,muster_b
IE,Portlaoise,7092010002856000,2025-09-26,pre_dlv,R32,False,13.6000,33.0000,3655.6200,,no_dlv,no_match,,,,,,,False,False
PT,Vila Franca de Xira,7092010001329000,2025-09-30,pre_dlv,NO_MATCH,True,13.2000,33.0000,2750.0000,,no_dlv,no_match,,,,,,,False,False
IE,Galway,7092010004762002,2025-10-06,pre_dlv,H91,False,8.8000,22.0000,2974.8300,,no_dlv,no_match,,,,,,,False,False
PL,Legnica,7092010006162008,2025-10-10,in_dlv_2025,NO_MATCH,True,0.4000,1.0000,86.5400,,no_dlv,no_match,,,,,,,False,False
PL,Szczecin,7092010006164002,2025-10-10,in_dlv_2025,NO_MATCH,True,0.4000,1.0000,135.0600,,no_dlv,no_match,,,,,,,False,False
ES,San Fernando de Henares,7092010005826000,2025-10-09,pre_dlv,NO_MATCH,True,13.2000,33.0000,2394.0000,,no_dlv,no_match,,,,,,,False,False
PT,Vila Franca de Xira,7092010008464001,2025-10-16,in_dlv_2025,NO_MATCH,True,13.2000,33.0000,2633.4000,,no_dlv,no_match,,,,,,,False,False
SK,Bytca,7092010009380003,2025-10-17,in_dlv_2025,NO_MATCH,True,0.4000,1.0000,184.1000,,no_dlv,no_match,,,,,,,False,False
ES,San Fernando de Henares,7092010005834005,2025-10-09,pre_dlv,NO_MATCH,True,12.0000,30.0000,2394.0000,,no_dlv,no_match,,,,,,,False,False
ES,Móstoles,7092010006428005,2025-10-09,pre_dlv,NO_MATCH,True,1.2000,3.0000,340.4800,,no_dlv,no_match,,,,,,,False,False
DE,Mulfingen,5152000003397005,2025-11-07,in_dlv_2025,NO_MATCH,True,1.0000,3.0000,183.9000,,no_dlv,no_match,,,,,,,False,False
DE,Mulfingen,7092010009631006,2025-10-21,in_dlv_2025,NO_MATCH,True,2.0000,5.0000,249.7000,,no_dlv,no_match,,,,,,,False,False
IE,Rathmullan,7092010017941005,2025-09-29,pre_dlv,F92,False,13.6000,33.0000,3602.4200,,no_dlv,no_match,,,,,,,False,False
IE,Portlaoise,7092010017979008,2025-10-03,pre_dlv,R32,False,13.6000,33.0000,3655.6200,,no_dlv,no_match,,,,,,,False,False
IE,Portlaoise,7092010018003009,2025-10-06,pre_dlv,R32,False,13.6000,33.0000,3655.6200,,no_dlv,no_match,,,,,,,False,False
PL,Szczecin,7092010019523001,2025-11-21,in_dlv_2025,NO_MATCH,True,0.8000,2.0000,162.0000,,no_dlv,no_match,,,,,,,False,False
PL,Szczecin,7092010018406008,2025-11-19,in_dlv_2025,NO_MATCH,True,,,475.0000,,no_dlv,no_match,,,,,,,False,False
DE,Mulfingen,5152000003532000,2025-11-18,in_dlv_2025,NO_MATCH,True,0.4000,1.0000,102.7800,,no_dlv,no_match,,,,,,,False,False
DE,Mulfingen,7092010021840004,2025-12-01,in_dlv_2025,NO_MATCH,True,1.6000,4.0000,257.1400,,no_dlv,no_match,,,,,,,False,False
SI,Naklo,7092010022491007,2025-12-03,in_dlv_2025,NO_MATCH,True,13.6000,33.0000,1455.0200,,no_dlv,no_match,,,,,,,False,False
PL,Skawina,7092010024167009,2025-12-10,in_dlv_2025,NO_MATCH,True,13.6000,33.0000,1080.0000,,no_dlv,no_match,,,,,,,False,False
PL,Szczecin,7092010023688000,2025-12-09,in_dlv_2025,NO_MATCH,True,0.4000,1.0000,130.0000,,no_dlv,no_match,,,,,,,False,False
SI,Naklo,7092010023690003,2025-12-09,in_dlv_2025,NO_MATCH,True,0.4000,1.0000,149.6100,,no_dlv,no_match,,,,,,,False,False
DE,Mulfingen,5152000003768003,2025-12-03,in_dlv_2025,NO_MATCH,True,0.2000,1.0000,103.3500,,no_dlv,no_match,,,,,,,False,False
SI,Naklo,7092010025442006,2025-12-16,in_dlv_2025,NO_MATCH,True,8.8000,22.0000,1179.1900,,no_dlv,no_match,,,,,,,False,False
PL,Szczecin,7092010027304005,2026-01-12,in_dlv_2025,NO_MATCH,True,0.8000,2.0000,247.5000,,no_dlv,no_match,,,,,,,False,False
PL,Skawina,7092010027337003,2026-01-08,in_dlv_2025,NO_MATCH,True,12.0000,30.0000,1309.0000,,no_dlv,no_match,,,,,,,False,False
PL,Szczecin,7092010030857000,2026-01-23,in_dlv_2025,NO_MATCH,True,1.2000,3.0000,463.5700,,no_dlv,no_match,,,,,,,False,False
RS,Prokuplje,7092010030866002,2026-01-23,in_dlv_2025,NO_MATCH,True,0.8000,2.0000,407.0000,,no_dlv,no_match,,,,,,,False,False
DE,Mulfingen,7092010030986007,2026-01-29,in_dlv_2025,NO_MATCH,True,2.0000,5.0000,622.0800,,no_dlv,no_match,,,,,,,False,False
DE,Mulfingen,7092010032391007,2026-02-02,in_dlv_2025,NO_MATCH,True,13.6000,33.0000,907.7500,,no_dlv,no_match,,,,,,,False,False
PL,Szczecin,7092010033617007,2026-02-06,in_dlv_2025,NO_MATCH,True,0.8000,2.0000,315.9600,,no_dlv,no_match,,,,,,,False,False
PL,Skawina,7092010034961000,2026-02-06,in_dlv_2025,NO_MATCH,True,13.6000,33.0000,1110.0000,,no_dlv,no_match,,,,,,,False,False
SI,Naklo,7092010036313005,2026-02-13,in_dlv_2025,NO_MATCH,True,0.4000,1.0000,149.6100,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010036782009,2026-02-13,in_dlv_2025,NO_MATCH,True,8.0000,20.0000,1250.0000,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010037840005,2026-02-19,in_dlv_2025,NO_MATCH,True,5.2000,13.0000,715.0000,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010038681003,2026-02-23,in_dlv_2025,NO_MATCH,True,12.0000,30.0000,1125.0000,,no_dlv,no_match,,,,,,,False,False
DE,Mulfingen,7092010037925009,2026-02-23,in_dlv_2025,NO_MATCH,True,2.0000,5.0000,637.5700,,no_dlv,no_match,,,,,,,False,False
SI,Naklo,7092010039973008,2026-03-02,in_dlv_2026,NO_MATCH,True,0.4000,1.0000,151.9700,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010040781005,2026-03-03,in_dlv_2026,NO_MATCH,True,8.0000,20.0000,975.0000,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010042351008,2026-03-06,in_dlv_2026,NO_MATCH,True,4.8000,20.0000,695.0000,,no_dlv,no_match,,,,,,,False,False
PL,Legnica,7092010043360009,2026-03-12,in_dlv_2026,NO_MATCH,True,13.6000,29.0000,781.4600,,no_dlv,no_match,,,,,,,False,False
DE,Mulfingen,7092010043098001,2026-03-12,in_dlv_2026,NO_MATCH,True,13.6000,33.0000,1195.0000,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010043573003,2026-03-13,in_dlv_2026,NO_MATCH,True,10.4000,26.0000,975.0000,,no_dlv,no_match,,,,,,,False,False
PL,Skawina,7092010044241000,2026-03-18,in_dlv_2026,NO_MATCH,True,13.2000,32.0000,1110.0000,,no_dlv,no_match,,,,,,,False,False
PL,Legnica,7092010044805004,2026-03-19,in_dlv_2026,NO_MATCH,True,6.4000,16.0000,620.2700,,no_dlv,no_match,,,,,,,False,False
SI,Naklo,7092010045709004,2026-03-20,in_dlv_2026,NO_MATCH,True,0.4000,1.0000,151.9700,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010046544000,2026-03-25,in_dlv_2026,NO_MATCH,True,6.8000,20.0000,795.0000,,no_dlv,no_match,,,,,,,False,False
HR,Kutina,7092010046782006,2026-03-26,in_dlv_2026,NO_MATCH,True,3.6000,9.0000,725.0000,,no_dlv,no_match,,,,,,,False,False
SI,Naklo,7092010046555006,2026-03-25,in_dlv_2026,NO_MATCH,True,0.4000,1.0000,151.9700,,no_dlv,no_match,,,,,,,False,False
PL,Legnica,7092010047063005,2026-03-27,in_dlv_2026,NO_MATCH,True,6.4000,16.0000,555.2700,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010047060004,2026-03-27,in_dlv_2026,NO_MATCH,True,2.0000,20.0000,415.0000,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010047731003,2026-03-31,in_dlv_2026,NO_MATCH,True,9.2000,23.0000,1025.0000,,no_dlv,no_match,,,,,,,False,False
PL,Szczecin,7092010042046003,2026-03-06,in_dlv_2026,NO_MATCH,True,2.4000,6.0000,525.0000,,no_dlv,no_match,,,,,,,False,False
PL,Legnica,7092010048421002,2026-04-02,in_dlv_2026,NO_MATCH,True,6.0000,15.0000,525.2100,,no_dlv,no_match,,,,,,,False,False
DE,Mulfingen,7092010047820004,2026-04-02,in_dlv_2026,NO_MATCH,True,2.0000,5.0000,651.2300,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010049607009,2026-04-10,in_dlv_2026,NO_MATCH,True,5.2000,13.0000,715.0000,,no_dlv,no_match,,,,,,,False,False
PL,Lódz,7092010050667009,2026-04-14,in_dlv_2026,NO_MATCH,True,11.2000,28.0000,1175.0000,,no_dlv,no_match,,,,,,,False,False
