Rechnungsnummer,datum,phase,Empfänger Land,Empfänger PLZ,plz_norm,plz_ok,Tonnage (eff.),Lademeter,Erlöse Fracht,Erlöse Diesel,Erlöse Maut,status
4251000024,2025-09-29,in_dlv_2025,FR,12000,12000,True,93.0,0.0,92.17,2.3,0.0,beurteilbar
4251000024,2025-09-29,in_dlv_2025,FR,72700,72700,True,23.25,0.0,18.776,0.4695,0.0,beurteilbar
4251000024,2025-09-29,in_dlv_2025,FR,72700,72700,True,159.0,0.0,128.404,3.2105,0.0,beurteilbar
4251000022,2025-09-30,in_dlv_2025,CH,8304,8304,True,38.75,0.0,11.0602,0.2764,0.0,beurteilbar
4251000022,2025-09-30,in_dlv_2025,CH,6260,6260,True,0.1,0.0,0.1512,0.0038,0.0,beurteilbar
4251000022,2025-09-30,in_dlv_2025,CH,8304,8304,True,506.0,0.0,144.4257,3.6093,0.0,beurteilbar
4251000024,2025-09-30,in_dlv_2025,FR,72230,72230,True,584.0,0.0,302.04,7.55,0.0,beurteilbar
4251000022,2025-09-30,in_dlv_2025,CH,5436,5436,True,16.23,0.0,54.25,1.36,0.0,beurteilbar
4251000022,2025-09-30,in_dlv_2025,CH,8302,8302,True,13.85,0.0,4.4497,0.1114,0.0,beurteilbar
4251000024,2025-09-30,in_dlv_2025,FR,14320,14320,True,153.0,0.0,147.18,3.68,0.0,beurteilbar
4251000022,2025-09-30,in_dlv_2025,CH,8304,8304,True,10.42,0.0,2.9741,0.0743,0.0,beurteilbar
4251000022,2025-10-01,in_dlv_2025,CH,6260,6260,True,1.97,0.0,2.9785,0.0742,0.0,beurteilbar
2560101,2025-10-01,in_dlv_2025,AT,4020,4020,True,0.0,0.0,2.215,0.0443,0.0,t_zero
4251000022,2025-10-01,in_dlv_2025,CH,9445,9445,True,1.22,0.0,0.8973,0.0224,0.0,beurteilbar
4251000024,2025-10-01,in_dlv_2025,FR,01700,01700,True,316.1,0.0,298.28,7.46,0.0,beurteilbar
2560101,2025-10-01,in_dlv_2025,AT,4020,4020,True,0.0,0.0,16.7325,0.335,0.0,t_zero
4251000560,2025-10-01,in_dlv_2025,FR,59930,59930,True,110.0,0.0,147.18,2.94,0.0,beurteilbar
4251000022,2025-10-01,in_dlv_2025,CH,6260,6260,True,2.97,0.0,4.4904,0.1119,0.0,beurteilbar
2560101,2025-10-01,in_dlv_2025,AT,5300,5300,True,0.0,0.0,31.547,0.6319,0.0,t_zero
