Empfänger Land,zone,phase,n_groups,n_positions,basispreis_sum,fracht_sum,delta_sum,fp_mean,fp_std,fp_min,fp_max,n_muster_a,n_muster_b,tonnage_sum,billing_kg_sum
AT,1,in_dlv_2025,10,16,499.19,645.71,146.52,0.2849528055685136,0.41254890807122496,0.0,1.0436280137772678,0,0,1117.97,1700
AT,1,in_dlv_2025_fallback,4,4,307.6,307.6,0.0,0.0,0.0,0.0,0.0,0,0,856.32,1100
AT,2,in_dlv_2025,4,5,238.76999999999998,238.76999999999998,0.0,0.0,0.0,0.0,0.0,0,0,365.0,600
AT,3,in_dlv_2025,30,45,3381.93,4396.2,1014.27,0.08502650667221762,0.22704795566002312,0.0,1.1570319240724762,0,0,12021.1,13600
AT,3,in_dlv_2025_fallback,7,14,960.15,1051.9071,91.7571,0.1252370656280161,0.17760591191329497,-0.020823108384458,0.401189111747851,0,0,3514.42,3900
AT,4,in_dlv_2025,5,6,290.5,325.64,35.14,0.11169739351557535,0.2497629648103707,0.0,0.5584869675778767,0,0,564.95,900
AT,4,in_dlv_2025_fallback,2,2,157.3,157.3,0.0,0.0,0.0,0.0,0.0,0,0,340.68,500
AT,5,in_dlv_2025,21,46,1668.34,1986.2237,317.88370000000003,0.1307768295277819,0.2811264901762228,-0.2752410409556314,0.9258305921052634,0,1,5551.98,6600
AT,5,in_dlv_2025_fallback,6,14,713.52,849.2825,135.7625,0.0980434058963535,0.19580467907979948,-0.06202796052631576,0.4556958191126279,0,0,2586.1000000000004,2900
AT,6,in_dlv_2025,29,91,4913.67,6393.7614,1480.0914,0.18651827697074913,0.29640150244435476,-0.012184768291222614,1.195200411491275,0,0,19452.14,20800
AT,6,in_dlv_2025_fallback,10,37,2414.92,3179.9877,765.0676999999998,0.1917412544494201,0.2570338433373686,0.0,0.7019975540154912,0,0,11128.78,11700
AT,7,in_dlv_2025,16,25,1189.93,1293.1499999999999,103.22000000000001,0.11785284213025926,0.284246443313965,-0.1976271186440678,1.0,0,1,2902.81,3800
AT,7,in_dlv_2025_fallback,4,10,264.48,464.92999999999995,200.45,1.1228505820783936,1.0325215945404165,0.0,2.0,0,0,633.33,800
AT,8,in_dlv_2025,9,15,803.86,1002.9000000000001,199.04000000000002,0.2378931821338962,0.3440050140766561,0.0,1.0,0,0,1221.8500000000001,1800
AT,8,in_dlv_2025_fallback,6,8,443.75,531.6700000000001,87.92,0.22579635282147606,0.404960134968049,0.0,1.0,0,0,500.65,900
CH,1,in_dlv_2025,14,148,3252.98,4756.6505,1503.6705000000002,0.3617723388486272,0.38686944041723664,0.0,1.1319777893098082,0,0,13442.37,14200
CH,1,in_dlv_2025_fallback,5,51,1670.35,2057.9594,387.60939999999994,0.2357731371359225,0.18734301005837134,1.945146858695068e-06,0.43408827824958096,0,0,7784.8099999999995,8100
CH,2,in_dlv_2025,23,73,3053.63,4502.33,1448.7,0.3603827170869042,0.5601058295053291,0.0,1.8562142013581342,0,0,9219.91,10500
CH,2,in_dlv_2025_fallback,10,29,1345.9,1494.6501,148.75010000000003,0.08069213278968343,0.18509272929475057,0.0,0.5918828344845231,0,0,4142.849999999999,4600
CH,3,in_dlv_2025,13,170,2300.99,3735.0579000000002,1434.0679,0.5281705904556897,0.5183045464645027,0.0,1.3848637015781926,0,0,7245.96,7800
CH,3,in_dlv_2025_fallback,5,76,927.0600000000001,1503.7732,576.7132,0.48860559972487083,0.5143033166796952,0.0,1.308192809530563,0,0,2660.67,3000
CH,4,in_dlv_2025,8,27,1248.6,1578.8999999999999,330.3,0.22575458842354745,0.33463890129487217,0.0,0.9316958277254375,0,0,3006.9700000000003,3500
CH,4,in_dlv_2025_fallback,2,4,451.78999999999996,451.7899,-9.999999997489795e-05,-1.2678127692122843e-07,1.7929580127698032e-07,-2.5356255384245685e-07,0.0,0,0,1383.89,1500
CH,5,in_dlv_2025,4,10,241.04,241.0399,-9.99999999891088e-05,-4.148689013439011e-07,8.297378028358319e-07,-1.659475605597649e-06,2.220446049250313e-16,0,0,126.92,400
CH,5,in_dlv_2025_fallback,2,8,241.0,361.52,120.52,0.41673582295988937,0.5893534527565888,-1.1102230246251565e-16,0.8334716459197788,0,0,444.15,500
CH,7,in_dlv_2025,5,10,398.07,418.45,20.379999999999995,0.03881904761904762,0.08680202929799183,0.0,0.1940952380952381,0,0,334.03,700
CH,8,in_dlv_2025_fallback,2,4,196.24,196.24,0.0,0.0,0.0,0.0,0.0,0,0,185.32999999999998,300
CH,9,in_dlv_2025,1,1,98.09,98.09,0.0,0.0,,0.0,0.0,0,0,4.45,100
CH,9,in_dlv_2025_fallback,1,1,98.09,98.09,0.0,0.0,,0.0,0.0,0,0,2.85,100
ES,1,in_dlv_2025,33,54,3705.96,4422.2897,716.3297,0.14366352412947944,0.3331488522264041,-0.024799552489278454,1.307104232705575,0,0,8179.25,10200
ES,1,in_dlv_2025_fallback,15,25,1380.17,1524.3542,144.18419999999998,0.039012978440701215,0.1314112190116632,0.0,0.5086627234151988,0,0,2558.41,3400
ES,2,in_dlv_2025,23,27,1903.74,2074.6800000000003,170.94000000000003,0.07881151221683824,0.22482031841518105,0.0,1.0,0,0,2639.14,3800
ES,2,in_dlv_2025_fallback,11,11,660.99,660.99,0.0,0.0,0.0,0.0,0.0,0,0,632.5699999999999,1100
ES,3,in_dlv_2025,30,35,2999.92,3189.13,189.21000000000004,0.07935208149317531,0.2579342832723862,-0.12804314329738065,1.0,0,0,3903.52,5600
ES,3,in_dlv_2025_fallback,16,18,1405.1100000000001,1416.8400000000001,11.730000000000018,0.004596106827158178,0.018384427308632715,0.0,0.07353770923453085,0,0,1609.1,2400
ES,4,in_dlv_2025,17,27,2819.8,3113.87,294.06999999999994,0.09516226472993768,0.21019179954906997,0.0,0.7076669414674361,0,0,3922.6,4800
ES,4,in_dlv_2025_fallback,17,23,2128.0,2360.85,232.84999999999997,0.03689334210282175,0.12254727947888672,0.0,0.49627172918572726,0,0,2647.76,3500
ES,5,in_dlv_2025,46,70,8768.18,9881.8625,1113.6825,0.06952541588296306,0.21986034745082245,-0.21660256410256407,1.0,0,1,11354.57,13800
ES,5,in_dlv_2025_fallback,27,36,3137.8199999999997,3566.3812,428.56120000000004,0.03921353682445626,0.11293751331412308,0.0,0.41430798845043304,0,0,3352.1,4700
ES,6,in_dlv_2025,6,10,797.5600000000001,1107.58,310.02,0.4454060385216032,0.8076944038467467,0.0,1.9999999999999996,0,0,520.9300000000001,900
