Rechnungsnummer,Empfänger Land,plz_norm,zone,phase,tonnage_sum,billing_kg,n_pos,fracht_sum,basispreis,delta_raw,floater_pct,muster_a
2560101,AT,5300,5,in_dlv_2025,507.65999999999997,600,5,101.9301,140.64,-38.70989999999999,-0.2752410409556314,False
2563945,AT,8055,7,in_dlv_2025,908.22,1000,4,213.03,265.5,-52.47,-0.1976271186440678,False
2563945,FR,40000,6,in_dlv_2025,1157.0,1200,2,603.0,629.4,-26.399999999999977,-0.041944709246901746,False
2573273,ES,36400,5,in_dlv_2025,125.43,200,2,107.54480000000001,137.28,-29.735199999999992,-0.21660256410256407,False
2573273,ES,38639,7,in_dlv_2025,7.9,100,1,24.0218,165.61,-141.58820000000003,-0.8549495803393515,False
2578458,GB,WS138SY,1,in_dlv_2025,7528.27,7600,27,1479.9086,2447.2,-967.2913999999998,-0.39526454723765936,False
2582348,IT,10070,3,in_dlv_2025_fallback,37.32,100,1,35.9519,53.87,-17.918099999999995,-0.33261741228884345,False
2582348,IT,16138,3,in_dlv_2025_fallback,589.95,600,5,222.54000000000002,253.38,-30.839999999999975,-0.12171442102770536,False
2582348,IT,16152,3,in_dlv_2025_fallback,46.37,100,1,27.3225,53.87,-26.547499999999996,-0.4928067570076109,False
2586869,FR,81000,6,in_dlv_2025_fallback,1633.0,1700,1,808.44,891.65,-83.20999999999992,-0.09332137049290634,False
4251011138,FR,57600,3,in_dlv_2025,59.66,100,1,29.4575,75.7,-46.24250000000001,-0.6108652575957728,False
4251011138,FR,59273,4,in_dlv_2025,10319.43,10400,4,2348.9,2560.48,-211.57999999999993,-0.0826329438230331,False
4251017635,IT,10070,3,in_dlv_2025_fallback,18.6,100,1,17.9181,53.87,-35.951899999999995,-0.6673825877111565,False
