Rechnungsnummer,datum,phase,Empfänger Land,Empfänger PLZ,plz_norm,Tonnage (eff.),Lademeter,Erlöse Fracht,Erlöse Diesel,Erlöse Maut,status
2560101,2025-10-01,in_dlv_2025,AT,4020,4020,0.0,0.0,2.215,0.0443,0.0,t_zero
2560101,2025-10-01,in_dlv_2025,AT,4020,4020,0.0,0.0,16.7325,0.335,0.0,t_zero
2560101,2025-10-01,in_dlv_2025,AT,5300,5300,0.0,0.0,31.547,0.6319,0.0,t_zero
2560101,2025-10-01,in_dlv_2025,AT,4020,4020,0.0,0.0,143.5683,2.8744,0.0,t_zero
2560101,2025-10-01,in_dlv_2025,AT,4020,4020,0.0,0.0,6.8708,0.1376,0.0,t_zero
2560101,2025-10-01,in_dlv_2025,AT,4020,4020,0.0,0.0,7.0178,0.1405,0.0,t_zero
2560101,2025-10-01,in_dlv_2025,AT,4020,4020,0.0,0.0,10.1502,0.2021,0.0,t_zero
2560101,2025-10-01,in_dlv_2025,AT,5300,5300,0.0,0.0,25.4214,0.5092,0.0,t_zero
2560101,2025-10-01,in_dlv_2025,AT,4020,4020,0.0,0.0,21.9898,0.4379,0.0,t_zero
4251000560,2025-10-02,in_dlv_2025,FR,01160,01160,0.0,0.0,88.9068,1.7777,0.0,t_zero
4251000560,2025-10-02,in_dlv_2025,FR,01160,01160,0.0,0.0,60.5869,1.2115,0.0,t_zero
2560101,2025-10-02,in_dlv_2025,AT,4020,4020,0.0,0.0,11.0646,0.2203,0.0,t_zero
4251000560,2025-10-02,in_dlv_2025,FR,01160,01160,0.0,0.0,334.6163,6.6908,0.0,t_zero
2560101,2025-10-02,in_dlv_2025,GR,611 00,61100,32.0,0.0,93.1169,1.8656,0.0,no_dlv
2560101,2025-10-02,in_dlv_2025,ES,08830,08830,0.0,0.0,103.305,2.0682,0.0,t_zero
2560101,2025-10-02,in_dlv_2025,AT,4020,4020,0.0,0.0,21.0754,0.4197,0.0,t_zero
2560101,2025-10-02,in_dlv_2025,GR,611 00,61100,3.85,0.0,11.2031,0.2244,0.0,no_dlv
2560101,2025-10-02,in_dlv_2025,ES,08830,08830,0.0,0.0,27.5557,0.5517,0.0,t_zero
2560101,2025-10-02,in_dlv_2025,ES,08830,08830,0.0,0.0,44.9593,0.9001,0.0,t_zero
2560101,2025-10-02,in_dlv_2025,AT,5300,5300,0.0,0.0,8.7315,0.1749,0.0,t_zero
2560101,2025-10-02,in_dlv_2025,AT,5300,5300,0.0,0.0,16.0185,0.3209,0.0,t_zero
2560101,2025-10-02,in_dlv_2025,AT,5300,5300,0.0,0.0,74.6385,1.4951,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4902,4902,0.0,0.0,374.0036,7.4806,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,IT,40128,40128,0.0,0.0,57.5421,1.1514,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,1.2994,0.0259,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,0.5863,0.0117,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,0.7525,0.015,0.0,t_zero
4251000560,2025-10-06,in_dlv_2025,FR,72230,72230,0.0,0.0,271.4277,5.4304,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,11.214,0.224,0.0,t_zero
4251000560,2025-10-06,in_dlv_2025,FR,72230,72230,0.0,0.0,80.9523,1.6196,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,11.694,0.2334,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,5.8346,0.1165,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,ES,08830,08830,0.0,0.0,147.3642,2.9489,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,14.1241,0.2819,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,5300,5300,0.0,0.0,19.7638,0.395,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,2.6679,0.0533,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,5300,5300,0.0,0.0,36.9983,0.7394,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,17.5723,0.3511,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,26.0194,0.5199,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,IT,40128,40128,0.0,0.0,74.3979,1.4886,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4902,4902,0.0,0.0,188.9564,3.7794,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,ES,08830,08830,0.0,0.0,142.4644,2.8509,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,AT,4020,4020,0.0,0.0,85.5256,1.7072,0.0,t_zero
2560101,2025-10-06,in_dlv_2025,ES,08830,08830,0.0,0.0,34.4914,0.6902,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,IT,20871,20871,0.0,0.0,263.9774,5.278,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,IT,39100,39100,0.0,0.0,63.1383,1.2633,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,GR,190 10,19010,252.0,0.0,147.93,2.96,0.0,no_dlv
2560101,2025-10-07,in_dlv_2025,IT,36100,36100,0.0,0.0,77.66,1.55,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,ES,08830,08830,0.0,0.0,199.98,4.0,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,ES,08830,08830,0.0,0.0,68.9805,1.3792,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,ES,17813,17813,0.0,0.0,72.7689,1.4576,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,IT,36100,36100,0.0,0.0,77.66,1.55,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,AT,4020,4020,0.0,0.0,31.5472,0.6282,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,IT,20871,20871,0.0,0.0,232.6726,4.652,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,ES,08830,08830,0.0,0.0,82.0329,1.6402,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,ES,08830,08830,0.0,0.0,369.1466,7.3807,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,ES,17813,17813,0.0,0.0,33.5711,0.6724,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,IT,39100,39100,0.0,0.0,31.8217,0.6367,0.0,t_zero
2560101,2025-10-07,in_dlv_2025,AT,4020,4020,0.0,0.0,0.5928,0.0118,0.0,t_zero
4251000560,2025-10-08,in_dlv_2025,FR,14320,14320,0.0,0.0,794.8,15.9,0.0,t_zero
4251000560,2025-10-08,in_dlv_2025,FR,14320,14320,0.0,0.0,85.22,1.7,0.0,t_zero
2560101,2025-10-08,in_dlv_2025,AT,4020,4020,0.0,0.0,20.3009,0.406,0.0,t_zero
2560101,2025-10-08,in_dlv_2025,AT,4020,4020,0.0,0.0,9.5005,0.1892,0.0,t_zero
4251000560,2025-10-08,in_dlv_2025,FR,59930,59930,0.0,0.0,33.1551,0.6633,0.0,t_zero
2560101,2025-10-08,in_dlv_2025,IT,16151,16151,0.0,0.0,42.2787,0.846,0.0,t_zero
2560101,2025-10-08,in_dlv_2025,IT,16151,16151,0.0,0.0,34.7484,0.6953,0.0,t_zero
2560101,2025-10-08,in_dlv_2025,IT,16151,16151,0.0,0.0,34.7774,0.6959,0.0,t_zero
2560101,2025-10-08,in_dlv_2025,AT,4020,4020,0.0,0.0,1.558,0.0312,0.0,t_zero
2560101,2025-10-08,in_dlv_2025,IT,16151,16151,0.0,0.0,20.1355,0.4029,0.0,t_zero
2560101,2025-10-08,in_dlv_2025,AT,5300,5300,0.0,0.0,1.5307,0.0306,0.0,t_zero
4251000560,2025-10-08,in_dlv_2025,FR,59930,59930,0.0,0.0,45.8954,0.9182,0.0,t_zero
2560101,2025-10-08,in_dlv_2025,AT,5300,5300,0.0,0.0,43.9734,0.8787,0.0,t_zero
