Rechnungsnummer,datum,phase,land,Empfänger PLZ,plz_norm,plz_ok,Tonnage (eff.),Erlöse Fracht,Erlöse Diesel,Erlöse Maut,is_s8,status
923714,2025-09-30,pre_dlv_2026,ES,46890,46890,True,16344.25,1756.44,0.0,63.96,False,no_calculator
923752,2025-10-01,pre_dlv_2026,BE,3920,3920,True,416.25,84.65,8.65,2.9,False,no_calculator
923724,2025-10-01,pre_dlv_2026,AT,5400,5400,True,250.56,56.2,0.0,1.68,False,no_calculator
923752,2025-10-01,pre_dlv_2026,BE,8790,8790,True,1064.0,146.96,15.16,6.38,False,no_calculator
923752,2025-10-01,pre_dlv_2026,BE,8560,8560,True,1020.24,146.96,15.16,6.38,False,no_calculator
4251000065,2025-10-02,pre_dlv_2026,GR,564 30,56430,True,3192.0,739.0629,19.2491,17.9675,False,no_calculator
4251000065,2025-10-02,pre_dlv_2026,GR,570 01,57001,True,13780.18,2769.0229,83.1001,77.5674,False,no_calculator
923740,2025-10-02,pre_dlv_2026,ES,46890,46890,True,20002.53,2029.491,0.0,78.3665,False,no_calculator
4251000066,2025-10-02,pre_dlv_2026,GR,320 11,32011,True,767.48,239.04,5.59,4.48,False,no_calculator
4251000065,2025-10-02,pre_dlv_2026,GR,461 00,46100,True,31.41,83.3739,0.1894,0.1768,False,no_calculator
4251000065,2025-10-02,pre_dlv_2026,GR,570 22,57022,True,661.8,163.2642,3.991,3.7252,False,no_calculator
923752,2025-10-02,pre_dlv_2026,BE,9200,9200,True,4155.3,381.36,37.69,24.36,False,no_calculator
923753,2025-10-02,pre_dlv_2026,IT,75015,75015,True,6832.65,1245.45,0.0,38.64,False,beurteilbar_pre
923714,2025-10-02,pre_dlv_2026,ES,18130,18130,True,1027.0,379.06,0.0,0.0,False,no_calculator
923740,2025-10-02,pre_dlv_2026,ES,46890,46890,True,6.0,0.609,0.0,0.0235,False,no_calculator
923753,2025-10-02,pre_dlv_2026,IT,13866,13866,True,3038.1,448.88,0.0,17.36,False,beurteilbar_pre
923753,2025-10-02,pre_dlv_2026,IT,20098,20098,True,9077.4,631.54,0.0,50.96,False,beurteilbar_pre
4251000065,2025-10-02,pre_dlv_2026,GR,570 01,57001,True,43.2,8.6791,0.2605,0.2431,False,no_calculator
923753,2025-10-02,pre_dlv_2026,IT,13866,13866,True,3038.1,448.88,0.0,17.36,False,beurteilbar_pre
923753,2025-10-02,pre_dlv_2026,IT,25125,25125,True,6918.5,506.8,0.0,39.2,False,beurteilbar_pre
923753,2025-10-06,pre_dlv_2026,IT,59100,59100,True,3492.61,506.8,0.0,19.6,False,beurteilbar_pre
923753,2025-10-06,pre_dlv_2026,IT,22063,22063,True,2027.3,248.43,0.0,11.76,False,beurteilbar_pre
923753,2025-10-06,pre_dlv_2026,IT,41019,41019,True,2719.9,288.4,0.0,15.68,False,beurteilbar_pre
923753,2025-10-06,pre_dlv_2026,IT,22045,22045,True,1064.0,148.06,0.0,6.16,False,beurteilbar_pre
923753,2025-10-06,pre_dlv_2026,IT,28069,28069,True,438.0,155.04,0.0,2.8,False,beurteilbar_pre
923752,2025-10-07,pre_dlv_2026,BE,8790,8790,True,0.0,146.96,15.16,6.38,False,t_zero
923740,2025-10-07,pre_dlv_2026,ES,46890,46890,True,21672.28,2088.04,0.0,84.63,False,no_calculator
923752,2025-10-07,pre_dlv_2026,BE,8790,8790,True,0.0,146.96,14.52,6.38,False,t_zero
923740,2025-10-07,pre_dlv_2026,ES,46890,46890,True,9629.99,1276.52,0.0,37.83,False,no_calculator
923752,2025-10-07,pre_dlv_2026,BE,9031,9031,True,32.1,39.37,3.89,0.58,False,no_calculator
923752,2025-10-07,pre_dlv_2026,BE,1180,1180,True,10.8,39.37,3.89,0.58,False,no_calculator
923752,2025-10-07,pre_dlv_2026,BE,3600,3600,True,2527.2,270.4,28.21,15.08,False,no_calculator
923752,2025-10-07,pre_dlv_2026,BE,7700,7700,True,74.7,39.37,3.89,0.58,False,no_calculator
923753,2025-10-07,pre_dlv_2026,IT,64027,64027,True,1064.0,264.77,0.0,6.16,False,beurteilbar_pre
923740,2025-10-08,pre_dlv_2026,ES,46890,46890,True,3012.8,286.1701,0.0,11.7591,False,no_calculator
923752,2025-10-08,pre_dlv_2026,BE,7700,7700,True,523.5,94.26,9.31,3.48,False,no_calculator
923740,2025-10-08,pre_dlv_2026,ES,46890,46890,True,10640.0,1010.6364,0.0,41.5282,False,no_calculator
923740,2025-10-08,pre_dlv_2026,ES,46890,46890,True,8330.12,791.2335,0.0,32.5127,False,no_calculator
923753,2025-10-08,pre_dlv_2026,IT,48022,48022,True,7210.0,655.54,0.0,40.88,False,beurteilbar_pre
923752,2025-10-09,pre_dlv_2026,BE,9600,9600,True,0.0,411.04,40.62,32.48,False,t_zero
923752,2025-10-09,pre_dlv_2026,BE,7080,7080,True,1250.8,173.68,17.16,7.54,False,no_calculator
923752,2025-10-09,pre_dlv_2026,BE,9800,9800,True,0.0,200.4,19.81,8.7,False,t_zero
923752,2025-10-09,pre_dlv_2026,BE,9800,9800,True,0.0,228.8,22.62,12.76,False,t_zero
923752,2025-10-09,pre_dlv_2026,BE,9600,9600,True,0.0,146.96,14.52,6.38,False,t_zero
923752,2025-10-09,pre_dlv_2026,BE,7700,7700,True,223.0,50.79,5.02,1.74,False,no_calculator
923752,2025-10-09,pre_dlv_2026,BE,1500,1500,True,216.55,50.79,5.02,1.74,False,no_calculator
923753,2025-10-10,pre_dlv_2026,IT,20098,20098,True,8323.39,582.96,0.0,47.04,False,beurteilbar_pre
923753,2025-10-10,pre_dlv_2026,IT,59100,59100,True,1064.0,232.21,0.0,6.16,False,beurteilbar_pre
923752,2025-10-10,pre_dlv_2026,BE,8790,8790,True,2077.65,218.4,21.59,12.18,False,no_calculator
923752,2025-10-10,pre_dlv_2026,BE,3520,3520,True,1292.8,173.68,17.16,7.54,False,no_calculator
923779,2025-10-10,pre_dlv_2026,ES,46890,46890,True,21500.97,2088.04,0.0,84.24,False,no_calculator
4251000125,2025-10-10,pre_dlv_2026,GR,461 00,46100,True,2477.45,749.2254,16.666,13.9847,False,no_calculator
4251000124,2025-10-10,pre_dlv_2026,GR,320 11,32011,True,626.4,209.16,4.89,3.92,False,no_calculator
923752,2025-10-10,pre_dlv_2026,BE,6690,6690,True,6318.0,469.76,46.43,37.12,False,no_calculator
923752,2025-10-10,pre_dlv_2026,BE,9140,9140,True,3173.6,310.08,30.65,18.56,False,no_calculator
923752,2025-10-10,pre_dlv_2026,BE,3001,3001,True,6663.05,491.78,52.44,38.86,False,no_calculator
4251000125,2025-10-10,pre_dlv_2026,GR,573 00,57300,True,1292.4,332.0246,8.694,7.2953,False,no_calculator
923753,2025-10-13,pre_dlv_2026,IT,28062,28062,True,3197.0,385.28,0.0,17.92,False,beurteilbar_pre
923779,2025-10-13,pre_dlv_2026,ES,46890,46890,True,21814.53,2088.04,0.0,85.41,False,no_calculator
