_cluster;_system;_is_kontroll;_abw_grund;Rechnungsnummer;Auftragsnummer;Leistungsdatum;Empfänger Name;Empfänger PLZ;Empfänger Land;Tonnage (eff.);Soll EUR;Dinas Fracht;Dinas Diesel;Dinas Maut/SSD;Dinas Ausfuhr;Dinas Verzollung;Dinas Zoll Duty;Dinas Zollbetrag;Dinas Sulphur;Dinas Nebenkostenpausch.;Dinas Redebit;Dinas Sonstige;Dinas Gesamt;AX Fracht;AX Diesel;AX Maut;AX Nebengebühr;AX Lademittel;AX Peak;AX EUST/Zoll;AX Versicherung;AX Gesamt
FR|77|bis 500kg;PRE;0;Hauptursache: Fracht: +99%, Diesel: +1%;3773387;32925122;2025-07-11;PLATEFORME LOGISTIQUE COGEFERM;77164;FR;323.0000;235.7200;822.1200;12.3300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;834.4500;;;;;;;;;
FR|77|bis 500kg;POST;0;Hauptursache: Fracht: +99%, Diesel: +1%;4251011138;7091200281057002;2025-10-21;PLATEFORME LOGISTIQUE COGEFERM;77164;FR;384.7000;;;;;;;;;;;;;;278.0276;5.5577;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;283.5853
FR|77|bis 500kg;POST;0;Hauptursache: Fracht: +99%, Diesel: +1%;2568656;7091200282105009;2025-11-14;GEZE FRANCE S.A.R.L.;77170;FR;312.0000;235.7200;;;;;;;;;;;;;62.3767;1.2476;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;63.6243
FR|77|bis 500kg;POST;0;Hauptursache: Fracht: +99%, Diesel: +1%;2573273;7091200282730003;2025-11-28;GEZE FRANCE S.A.R.L.;77170;FR;347.0000;;;;;;;;;;;;;;91.0120;1.8201;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;92.8321
FR|77|bis 500kg;POST;0;Hauptursache: Fracht: +99%, Diesel: +1%;2577017;7091200283078005;2025-12-05;GEZE FRANCE S.A.R.L.;77170;FR;499.0000;294.6500;;;;;;;;;;;;;132.2376;2.6454;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;134.8830
FR|77|bis 500kg;POST;0;Hauptursache: Fracht: +99%, Diesel: +1%;2577017;7091200283092001;2025-12-05;GEZE FRANCE S.A.R.L.;77170;FR;318.0000;;;;;;;;;;;;;;84.2717;1.6859;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;85.9576
FR|77|bis 500kg;KONTROLL_PRE;1;Hauptursache: Fracht: +99%, Diesel: +1%;3773387;32925122;2025-07-11;PLATEFORME LOGISTIQUE COGEFERM;77164;FR;323.0000;235.7200;822.1200;12.3300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;834.4500;;;;;;;;;
FR|77|bis 500kg;KONTROLL_POST;1;Hauptursache: Fracht: +99%, Diesel: +1%;0;7091200286456008;2026-03-10;PLATEFORME LOGISTIQUE COGEFERM;77164;FR;315.0000;;;;;;;;;;;;;;228.6077;9.1474;0.0000;22.8647;0.0000;0.0000;0.0000;0.0000;260.6198
FR|59|über 3000kg;PRE;0;Hauptursache: Fracht: +98%, Diesel: +2%;3769532;32901136;2025-06-04;CENTRE LOGISTIQUE TRENOIS DECA;59273;FR;8124.0000;2166.4400;2314.0400;46.2800;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;2360.3200;;;;;;;;;
FR|59|über 3000kg;POST;0;Hauptursache: Fracht: +98%, Diesel: +2%;4251011138;7091200281042008;2025-10-22;CENTRE LOGISTIQUE TRENOIS DECA;59273;FR;9952.0000;2642.0000;;;;;;;;;;;;;2072.1509;41.4430;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;2113.5939
