_cluster;Land;PLZ_pre;Gew_band;n_pre;n_post;avg_dinas_ges;avg_dinas_fr;avg_dinas_di;avg_dinas_maut;avg_ax_ges;avg_ax_fr;avg_ax_di;avg_ax_maut;avg_ax_neben;delta_ges;delta_pct;delta_fr;delta_di;delta_maut;total_loss_est;abw_grund
FR|77|bis 500kg;FR;77;bis 500kg;1;19;834.4500;822.1200;12.3300;0.0000;120.4456;114.2420;3.1210;0.0000;3.0826;-714.0044;-85.5659;-707.8780;-9.2090;0.0000;-13566.0833;Hauptursache: Fracht: +99%, Diesel: +1%
FR|59|über 3000kg;FR;59;über 3000kg;1;9;2360.3200;2314.0400;46.2800;0.0000;1006.6082;989.4468;17.1614;0.0000;0.0000;-1353.7118;-57.3529;-1324.5932;-29.1186;0.0000;-12183.4061;Hauptursache: Fracht: +98%, Diesel: +2%
CH|62|bis 50kg;CH;62;bis 50kg;6;300;39.0300;39.0300;0.0000;0.0000;11.9961;6.6740;0.1784;0.0000;5.1437;-27.0339;-69.2644;-32.3560;0.1784;0.0000;-8110.1633;Hauptursache: Fracht: +100%
FR|72|bis 750kg;FR;72;bis 750kg;1;11;834.4500;822.1200;12.3300;0.0000;187.9900;183.6845;4.3054;0.0000;0.0000;-646.4600;-77.4714;-638.4355;-8.0246;0.0000;-7111.0604;Hauptursache: Fracht: +99%, Diesel: +1%
FR|59|bis 750kg;FR;59;bis 750kg;1;5;834.4500;822.1200;12.3300;0.0000;167.9170;164.0323;3.8847;0.0000;0.0000;-666.5330;-79.8769;-658.0877;-8.4453;0.0000;-3332.6650;Hauptursache: Fracht: +99%, Diesel: +1%
CH|83|bis 50kg;CH;83;bis 50kg;6;235;31.1583;31.1583;0.0000;0.0000;17.9334;9.4999;0.2573;0.0000;8.1762;-13.2249;-42.4442;-21.6584;0.2573;0.0000;-3107.8525;Hauptursache: Fracht: +100%
FR|01|bis 750kg;FR;01;bis 750kg;1;5;834.4500;822.1200;12.3300;0.0000;407.5140;398.0460;9.4680;0.0000;0.0000;-426.9360;-51.1638;-424.0740;-2.8620;0.0000;-2134.6800;Hauptursache: Fracht: +99%, Diesel: +1%
FR|01|bis 50kg;FR;01;bis 50kg;1;5;278.7700;270.6400;8.1300;0.0000;81.2392;59.0659;1.7353;0.0000;1.8440;-197.5308;-70.8580;-211.5741;-6.3947;0.0000;-987.6539;Hauptursache: Fracht: +97%, Diesel: +3%
IT|20|bis 750kg;IT;20;bis 750kg;1;9;212.4300;208.2600;4.1700;0.0000;133.1081;130.4495;2.6586;0.0000;0.0000;-79.3219;-37.3402;-77.8105;-1.5114;0.0000;-713.8967;Hauptursache: Fracht: +98%, Diesel: +2%
ES|08|bis 50kg;ES;08;bis 50kg;1;63;55.7800;53.6300;2.1500;0.0000;45.9530;43.8988;1.0333;0.0000;1.0210;-9.8270;-17.6173;-9.7312;-1.1167;0.0000;-619.0982;Hauptursache: Fracht: +90%, Diesel: +10%
FR|59|bis 200kg;FR;59;bis 200kg;1;1;278.7700;270.6400;8.1300;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-278.7700;-100.0000;-270.6400;-8.1300;0.0000;-278.7700;Hauptursache: Fracht: +97%, Diesel: +3%
GR|56|bis 50kg;GR;56;bis 50kg;1;4;77.1100;75.6000;1.5100;0.0000;47.6513;46.7178;0.9335;0.0000;0.0000;-29.4587;-38.2034;-28.8822;-0.5765;0.0000;-117.8347;Hauptursache: Fracht: +98%, Diesel: +2%
DE|71|bis 100kg;DE;71;bis 100kg;1;2;70.0000;70.0000;0.0000;0.0000;52.2100;50.8350;1.0150;0.3600;0.0000;-17.7900;-25.4143;-19.1650;1.0150;0.3600;-35.5800;Hauptursache: Fracht: +100%
CH|12|bis 50kg;CH;12;bis 50kg;4;1;26.1450;26.1450;0.0000;0.0000;6.5007;3.8388;0.1150;0.0000;2.5469;-19.6443;-75.1360;-22.3062;0.1150;0.0000;-19.6443;Hauptursache: Fracht: +100%
AT|24|bis 50kg;AT;24;bis 50kg;1;7;31.5400;30.3300;1.2100;0.0000;28.9612;28.1007;0.6500;0.0000;0.2105;-2.5788;-8.1764;-2.2293;-0.5600;0.0000;-18.0518;Hauptursache: Fracht: +80%, Diesel: +20%
