_cluster;_system;_is_kontroll;_abw_grund;RN;Auftrag;Leistungsdatum;Land;PLZ;Zone;Gew.band;Tonnage kg;LDM;SOLL EUR;Dinas Fracht;Diesel;Maut/SSD;Ausfuhr;Verzoll.;Zoll Bet.;Sulphur;NK Pausch;Sonstige;Dinas Gesamt;AX Fracht;Maut;Neben;Versich.;AX Gesamt
ES|08|über 3000kg;PRE;0;Hauptursache: Fracht: +100%;3764668;32887447;2025-05-02;ES;08202;ES ;über 3000kg;14471.0000;;1810.2462;1375.0500;-13.7500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1361.3000;;;;;
ES|08|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251001221;7091200055042005;;ES;08840;ES ;über 3000kg;6189.0000;3.3000;1088.1724;;-5.7664;;;;;;;;;577.0399;0.0000;0.0000;0.0000;571.2735
ES|08|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251001685;7091200055080007;;ES;08210;ES ;über 3000kg;18603.0000;13.2000;2266.1226;;-14.7400;;;;;;;;;1474.4000;0.0000;0.0000;0.0000;1459.6600
ES|08|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251002673;7091200055256006;;ES;08840;ES ;über 3000kg;3259.0000;2.4000;628.4279;;-3.4938;;;;;;;;;349.2392;0.0000;0.0000;0.0000;345.7454
ES|08|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251001685;7091200055328000;;ES;08202;ES ;über 3000kg;14500.0000;11.0000;1973.0732;;-13.7500;;;;;;;;;1375.0500;0.0000;12.5000;0.0000;1373.8000
ES|08|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251001685;7091200055346004;;ES;08840;ES ;über 3000kg;4181.0000;2.1000;817.9139;;-4.0688;;;;;;;;;406.8196;0.0000;0.0000;0.0000;402.7508
ES|08|über 3000kg;KONTROLL_PRE;1;Hauptursache: Fracht: +100%;3764668;32887447;2025-05-02;ES;08202;ES ;über 3000kg;14471.0000;;1810.2462;1375.0500;-13.7500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1361.3000;;;;;
ES|08|über 3000kg;KONTROLL_POST;1;Hauptursache: Fracht: +100%;4251009778;7091200056598006;;ES;08202;ES ;über 3000kg;14475.0000;11.0000;1973.0732;;-14.0053;;;;;;;;;1400.2402;0.0000;0.0000;0.0000;1386.2349
IT|03|über 3000kg;PRE;0;Hauptursache: Fracht: +100%;3775242;32927344;2025-07-16;IT;03012;IT 3;über 3000kg;17394.0000;;2059.1200;1828.3000;-36.5700;0.0000;0.0000;0.0000;0.0000;0.0000;24.3600;0.0000;1816.0900;;;;;
IT|03|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251004131;7091200055139002;;IT;03012;IT 3;über 3000kg;23456.0000;13.2000;2324.5900;;-21.5013;;;;;;;;;2150.1326;32.8384;0.0000;0.0000;2161.4697
IT|03|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251004131;7091200055130009;;IT;03049;IT 3;über 3000kg;17429.0000;9.7000;2059.1200;;-18.5400;;;;;;;;;1854.1000;24.5000;0.0000;0.0000;1860.0600
IT|03|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251004131;7091200055185009;;IT;03012;IT 3;über 3000kg;3701.0000;2.4000;687.7840;;-4.1847;;;;;;;;;418.4951;5.2272;0.0000;0.0000;419.5376
IT|03|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251004131;7091200055181001;;IT;03012;IT 3;über 3000kg;24000.0000;13.6000;2324.5900;;-22.0000;;;;;;;;;2200.0000;33.6000;0.0000;0.0000;2211.6000
IT|03|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251004131;7091200055187003;;IT;03012;IT 3;über 3000kg;9185.0000;8.0000;1528.7900;;-10.3853;;;;;;;;;1038.6049;12.9728;0.0000;0.0000;1041.1924
IT|03|über 3000kg;KONTROLL_PRE;1;Hauptursache: Fracht: +100%;3775242;32927344;2025-07-16;IT;03012;IT 3;über 3000kg;17394.0000;;2059.1200;1828.3000;-36.5700;0.0000;0.0000;0.0000;0.0000;0.0000;24.3600;0.0000;1816.0900;;;;;
IT|03|über 3000kg;KONTROLL_POST;1;Hauptursache: Fracht: +100%;4251004131;7091200055130009;;IT;03049;IT 3;über 3000kg;17429.0000;9.7000;2059.1200;;-18.5400;;;;;;;;;1854.1000;24.5000;0.0000;0.0000;1860.0600
FR|59|über 3000kg;PRE;0;Hauptursache: Fracht: +100%;3776752;32935052;2025-08-01;FR;59790;FR 59;über 3000kg;8477.0000;6.4000;920.0370;677.6000;-6.7800;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;875.0000;1545.8200;;;;;
FR|59|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251001696;7091200055134007;;FR;59790;FR 59;über 3000kg;8043.0000;5.8000;850.1265;;-6.7800;;;;;;;;;677.6000;0.0000;250.0000;0.0000;920.8200
FR|59|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251001696;7091200055210008;;FR;59175;FR 59;über 3000kg;3623.0000;2.8000;593.2513;;-3.9087;;;;;;;;;390.8666;0.0000;128.2932;0.0000;515.2511
FR|59|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251001696;7091200055473007;;FR;59175;FR 59;über 3000kg;3987.0000;2.8000;593.2513;;-4.1844;;;;;;;;;418.3992;0.0000;131.0364;0.0000;545.2512
FR|59|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251002678;7091200055738007;;FR;59175;FR 59;über 3000kg;3425.0000;2.8000;593.2513;;-3.9400;;;;;;;;;394.1500;0.0000;150.0000;0.0000;540.2100
FR|59|über 3000kg;POST;0;Hauptursache: Fracht: +100%;4251006434;7091200056032005;;FR;59175;FR 59;über 3000kg;3122.0000;2.4000;485.6875;;-3.9400;;;;;;;;;394.1500;0.0000;150.0000;0.0000;540.2100
