_cluster;n_pre;avg_dinas_ges;avg_dinas_fr;avg_dinas_di;avg_dinas_maut;avg_soll_pre;n_post;avg_ax_ges;avg_ax_fr;avg_ax_di;avg_ax_maut;avg_ax_neben;avg_soll_post;delta_ges;delta_pct;delta_fr;delta_di;delta_maut;total_loss_est;abw_grund;Land;PLZ_pre;Gew_band
ES|08|über 3000kg;1;1361.3000;1375.0500;-13.7500;0.0000;1810.2462;116;902.3487;895.5105;-7.3225;0.0000;14.1608;1415.0553;-458.9513;-33.7142;-479.5395;6.4275;0.0000;-53238.3454;Hauptursache: Fracht: +100%;ES;08;über 3000kg
IT|03|über 3000kg;1;1816.0900;1828.3000;-36.5700;0.0000;2059.1200;76;1336.9774;1308.3949;-10.6955;17.0900;22.1880;1522.3835;-479.1126;-26.3815;-519.9051;25.8745;17.0900;-36412.5548;Hauptursache: Fracht: +100%;IT;03;über 3000kg
FR|59|über 3000kg;1;1545.8200;677.6000;-6.7800;0.0000;920.0370;19;684.7113;498.3341;-4.5795;0.0000;190.9566;681.0350;-861.1087;-55.7056;-179.2659;2.2005;0.0000;-16361.0662;Hauptursache: Fracht: +100%;FR;59;über 3000kg
IT|20|über 3000kg;2;708.3600;700.3000;-8.6700;0.0000;879.6705;94;614.5134;596.9474;-4.8900;13.2067;9.2494;809.7888;-93.8466;-13.2484;-103.3526;3.7800;13.2067;-8821.5791;Hauptursache: Fracht: +100%;IT;20;über 3000kg
GB|DN|über 3000kg;1;2691.4300;2715.7500;-54.3200;15.0000;2325.7841;12;2136.4859;2010.9984;-13.2828;0.0000;126.3995;2134.1105;-554.9441;-20.6189;-704.7516;41.0372;-15.0000;-6659.3289;Hauptursache: Fracht: +98%, Maut: +2%;GB;DN;über 3000kg
FR|35|über 3000kg;1;1722.3500;1757.5000;-35.1500;0.0000;1779.8060;12;1184.1727;1181.9719;-8.8108;0.0000;11.0117;1210.8249;-538.1773;-31.2467;-575.5281;26.3392;0.0000;-6458.1277;Hauptursache: Fracht: +100%;FR;35;über 3000kg
IT|95|über 3000kg;1;3975.0000;3975.0000;0.0000;0.0000;3650.7000;6;3076.8218;3077.5418;-1.4900;0.7700;0.0000;3095.4113;-898.1782;-22.5957;-897.4582;-1.4900;0.7700;-5389.0694;Hauptursache: Fracht: +100%, Diesel: +0%;IT;95;über 3000kg
IT|20|bis 2000kg;2;247.6900;247.0050;-2.4650;0.0000;225.7500;82;186.3940;180.9466;-1.5100;2.5116;4.4458;187.9451;-61.2960;-24.7471;-66.0584;0.9550;2.5116;-5026.2743;Hauptursache: Fracht: +100%;IT;20;bis 2000kg
ES|08|bis 500kg;4;131.2375;132.9000;-1.6625;0.0000;113.2194;105;85.1944;84.9692;-0.7677;0.0000;0.9928;121.9999;-46.0431;-35.0838;-47.9308;0.8948;0.0000;-4834.5298;Hauptursache: Fracht: +100%;ES;08;bis 500kg
ES|08|bis 1000kg;11;150.8445;153.1082;-2.2636;0.0000;181.0880;219;129.3669;129.6826;-1.0771;0.0000;0.7614;164.7436;-21.4776;-14.2383;-23.4255;1.1866;0.0000;-4703.5996;Hauptursache: Fracht: +100%;ES;08;bis 1000kg
FR|27|über 3000kg;3;950.9533;948.2500;-12.2967;0.0000;1042.6250;29;853.1243;861.7421;-8.6178;0.0000;0.0000;1030.6326;-97.8290;-10.2875;-86.5079;3.6788;0.0000;-2837.0413;Hauptursache: Fracht: +100%;FR;27;über 3000kg
