system;invoice;datum;dest;postcode;postcode_area;kg;ldm;fracht;diesel;lsz;ausfuhr;ssd;total_shipment
DINAS;RECHNUNG03764345.pdf;08.05.25;GB-CB9 8PR;CB9;CB;600.0;0.4;157.9;0;0.9;15.0;15.0;188.8
DINAS;RECHNUNG03764346.pdf;08.05.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03764347.pdf;09.05.25;GB-CB9 8PR;CB9;CB;4200.0;2.8;792.55;0;6.3;15.0;15.0;828.8499999999999
DINAS;RECHNUNG03764348.pdf;14.05.25;GB-CB9 8PR;CB9;CB;600.0;0.4;157.9;0;0.9;15.0;15.0;188.8
DINAS;RECHNUNG03764452.pdf;06.05.25;GB-LE67 1LE;LE67;LE;1200.0;0.8;289.4;0;0.0;0.0;15.0;304.4
DINAS;RECHNUNG03764452.pdf;06.05.25;GB-RM20 4AL;RM20;RM;600.0;0.4;154.55;0;0.0;0.0;15.0;169.55
DINAS;RECHNUNG03764452.pdf;05.05.25;GB-CV3 4 COVENTRY;CV3;CV;1800.0;1.2;393.2;0;0.0;0.0;15.0;408.2
DINAS;RECHNUNG03764452.pdf;08.05.25;GB-M17 1 MANCHESTER;M17;M;3000.0;2.0;616.95;0;0.0;0.0;15.0;631.95
DINAS;RECHNUNG03764452.pdf;15.05.25;GB-LE67 1LE;LE67;LE;1200.0;0.8;289.4;0;0.0;0.0;15.0;304.4
DINAS;RECHNUNG03764639.pdf;05.05.25;GB-BS35 4DJ;BS35;BS;600.0;0.4;178.6;0;0.9;15.0;15.0;209.5
DINAS;RECHNUNG03764639.pdf;05.05.25;GB-SN3 4DB;SN3;SN;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03764639.pdf;05.05.25;GB-DA1 5XU;DA1;DA;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03764639.pdf;05.05.25;GB-BL5 1BT;BL5;BL;600.0;0.4;161.45;0;0.9;15.0;15.0;192.35
DINAS;RECHNUNG03764639.pdf;08.05.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03764639.pdf;14.05.25;GB-LE42B;LE42;LE;1200.0;0.8;289.4;0;1.8;15.0;15.0;321.2
DINAS;RECHNUNG03764639.pdf;14.05.25;GB-LE42B;LE42;LE;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03764639.pdf;14.05.25;GB-LE42B;LE42;LE;1200.0;0.8;289.4;0;1.8;15.0;15.0;321.2
DINAS;RECHNUNG03764670.pdf;02.05.25;GB-BA3 4BS;BA3;BA;3123.0;2.0;462.84;0;0.0;0.0;15.0;477.84
DINAS;RECHNUNG03764670.pdf;02.05.25;GB-BA3 4BS;BA3;BA;3600.0;2.4;533.54;0;0.0;0.0;15.0;548.54
